TDI Format 1.5	Temperature	Resistance
 	2.777E+2	4.85749E+0	1.333776E+2
 	2.775E+2	4.85864E+0	1.344401E+2
 	2.772E+2	4.85995E+0	1.355026E+2
 	2.77E+2	4.8612E+0	1.365807E+2
 	2.768E+2	4.86231E+0	1.376433E+2
 	2.766E+2	4.86356E+0	1.387214E+2
 	2.763E+2	4.8644E+0	1.397839E+2
 	2.761E+2	4.86572E+0	1.408621E+2
 	2.758E+2	4.86682E+0	1.419246E+2
 	2.756E+2	4.8676E+0	1.429871E+2
 	2.754E+2	4.8689E+0	1.440653E+2
 	2.752E+2	4.87003E+0	1.451278E+2
 	2.75E+2	4.87124E+0	1.461903E+2
 	2.747E+2	4.87241E+0	1.472528E+2
 	2.745E+2	4.87352E+0	1.483153E+2
 	2.743E+2	4.8747E+0	1.493935E+2
 	2.74E+2	4.87595E+0	1.50456E+2
 	2.738E+2	4.87687E+0	1.515185E+2
 	2.736E+2	4.87816E+0	1.525811E+2
 	2.733E+2	4.87904E+0	1.536436E+2
 	2.731E+2	4.88059E+0	1.547061E+2
 	2.729E+2	4.88162E+0	1.557842E+2
 	2.727E+2	4.8825E+0	1.568468E+2
 	2.725E+2	4.88396E+0	1.579093E+2
 	2.723E+2	4.88489E+0	1.589718E+2
 	2.72E+2	4.88585E+0	1.600343E+2
 	2.718E+2	4.88723E+0	1.610968E+2
 	2.716E+2	4.88818E+0	1.621594E+2
 	2.714E+2	4.88949E+0	1.632219E+2
 	2.712E+2	4.89049E+0	1.643E+2
 	2.71E+2	4.89167E+0	1.653626E+2
 	2.707E+2	4.89285E+0	1.664251E+2
 	2.705E+2	4.89367E+0	1.675188E+2
 	2.703E+2	4.89508E+0	1.685814E+2
 	2.701E+2	4.89607E+0	1.696439E+2
 	2.698E+2	4.89707E+0	1.707064E+2
 	2.696E+2	4.89839E+0	1.717689E+2
 	2.694E+2	4.89938E+0	1.728314E+2
 	2.692E+2	4.90034E+0	1.739096E+2
 	2.69E+2	4.9018E+0	1.749721E+2
 	2.688E+2	4.90276E+0	1.760346E+2
 	2.686E+2	4.90388E+0	1.771128E+2
 	2.684E+2	4.90507E+0	1.781753E+2
 	2.682E+2	4.90604E+0	1.792378E+2
 	2.679E+2	4.90723E+0	1.803003E+2
 	2.677E+2	4.90786E+0	1.813629E+2
 	2.675E+2	4.90907E+0	1.824254E+2
 	2.673E+2	4.91014E+0	1.835035E+2
 	2.671E+2	4.91153E+0	1.84566E+2
 	2.669E+2	4.91268E+0	1.856286E+2
 	2.667E+2	4.91371E+0	1.866911E+2
 	2.665E+2	4.9149E+0	1.877692E+2
 	2.663E+2	4.91588E+0	1.888318E+2
