TDI Format 1.5	x	y	e
script{String}="from numpy import *\\nimport models.spec_nx as model\\nfrom models.utils import UserVars, fp, fw, bc, bw\\n\\n# BEGIN Instrument DO NOT CHANGE\\nfrom models.utils import create_fp, create_fw\\ninst = model.Instrument(Ibkg=5.58258117168, res=0.00198915578985, footype=\'gauss beam\', I0=93963992.7998, samplelen=16.067019549, probe=\'x-ray\', beamw=0.0747633477129, restype=\'fast conv\', tthoff=0.0, pol=\'uu\', coords=\'q\', resintrange=2, wavelength=1.54, respoints=5, incangle=0.0,)\\ninst_fp = create_fp(inst.wavelength); inst_fw = create_fw(inst.wavelength)\\n\\nfp.set_wavelength(inst.wavelength); fw.set_wavelength(inst.wavelength)\\n# END Instrument\\n\\n# BEGIN Sample DO NOT CHANGE\\nAmb = model.Layer(b=0, d=0.0, f=0, dens=0, sigma=0.0, magn_ang=0.0, xs_ai=0.0, magn=0.0)\\nAl = model.Layer(b=0j, d=50, f=fp.Al*2+fp.O*3, dens=0.0235, sigma=20, magn_ang=0.0, xs_ai=0.0, magn=0.0)\\nPytop = model.Layer(b=0j, d=40, f=fp.Fe*0.2+fp.Ni*0.8, dens=0.0746, sigma=5, magn_ang=0.0, xs_ai=0.0, magn=0.0)\\nC60 = model.Layer(b=0j, d=300, f=fp.C*60, dens=0.00138, sigma=20, magn_ang=0.0, xs_ai=0.0, magn=0.0)\\nFe20Ni80 = model.Layer(b=0j, d=40, f=fp.Fe*0.2+fp.Ni*0.8, dens=0.0899, sigma=10, magn_ang=0.0, xs_ai=0.0, magn=0.0)\\nCo60bot = model.Layer(b=0j, d=270, f=fp.C*60, dens=0.00114, sigma=40, magn_ang=0.0, xs_ai=0.0, magn=0.0)\\nTa = model.Layer(b=0j, d=30, f=fp.Ta, dens=0.0554, sigma=5, magn_ang=0.0, xs_ai=0.0, magn=0.0)\\nSub = model.Layer(b=0j, d=0.0, f=(fp.Si+fp.O*2)*0.86+(fp.B*2+fp.O*3)*0.14, dens=0.022, sigma=6, magn_ang=0.0, xs_ai=0.0, magn=0.0)\\n\\nCap = model.Stack(Layers=[Pytop , Al], Repetitions = 1)\\nMain = model.Stack(Layers=[Fe20Ni80 , C60], Repetitions = 9)\\nBuf = model.Stack(Layers=[Ta , Co60bot], Repetitions = 1)\\n\\nsample = model.Sample(Stacks = [Buf ,Main ,Cap], Ambient = Amb, Substrate = Sub)\\n# END Sample\\n\\n# BEGIN Parameters DO NOT CHANGE\\ncp = UserVars()\\n# END Parameters\\n\\nSLD = []\\ndef Sim(data):\\n    I = []\\n    SLD[:] = []\\n    # BEGIN Dataset 0 DO NOT CHANGE\\n    d = data[0]\\n    I.append(sample.SimSpecular(d.x, inst))\\n    if _sim: SLD.append(sample.SimSLD(None, None, inst))\\n    # END Dataset 0\\n    return I"	0.0391649	14700000.0	3837.73
	0.039877	12100000.0	3476.26
	0.0405891	10600000.0	3253.23
	0.0413012	9850000.0	3138.55
	0.0420133	9670000.0	3109.38
	0.0427254	9970000.0	3158.22
	0.0434375	10400000.0	3231.83
	0.0441495	10700000.0	3265.56
	0.0448616	11000000.0	3310.36
	0.0455737	11300000.0	3368.37
