TDI Format 1.5	x	y	e
	0.522319	54.0	7.34847
	0.523029	62.0	7.87401
	0.52374	60.0	7.74597
	0.524451	51.5	7.17635
	0.525161	54.0	7.34847
	0.525872	54.0	7.34847
	0.526582	47.5	6.89202
	0.527293	59.5	7.71362
	0.528004	62.0	7.87401
	0.528714	64.5	8.03119
	0.529425	54.0	7.34847
	0.530135	59.5	7.71362
	0.530846	64.0	8.0
	0.531557	71.0	8.42615
	0.532267	43.5	6.59545
	0.532978	76.0	8.7178
	0.533688	72.0	8.48528
	0.534399	61.0	7.81025
	0.535109	86.5	9.30054
	0.53582	91.5	9.56556
	0.536531	92.0	9.59166
	0.537241	74.5	8.63134
	0.537952	70.0	8.3666
	0.538662	92.0	9.59166
	0.539373	80.5	8.97218
	0.540083	75.5	8.68907
	0.540794	85.5	9.24662
	0.541504	100.5	10.025
	0.542215	117.5	10.8397
	0.542925	90.5	9.51315
	0.543636	103.5	10.1735
	0.544346	113.5	10.6536
	0.545057	121.0	11.0
	0.545767	123.5	11.1131
	0.546478	117.5	10.8397
	0.547188	112.5	10.6066
	0.547899	104.0	10.198
	0.548609	110.5	10.5119
	0.54932	119.5	10.9316
	0.55003	110.0	10.4881
	0.550741	123.0	11.0905
	0.551451	119.5	10.9316
	0.552162	112.0	10.583
	0.552872	137.0	11.7047
	0.553583	144.0	12.0
	0.554293	126.5	11.2472
	0.555004	147.5	12.145
	0.555714	111.5	10.5594
	0.556424	124.5	11.158
	0.557135	101.0	10.0499
	0.557845	113.0	10.6301
	0.558556	117.5	10.8397
	0.559266	91.0	9.53939
	0.559977	95.5	9.77241
	0.560687	96.0	9.79796
	0.561397	128.5	11.3358
	0.562108	118.5	10.8858
	0.562818	119.5	10.9316
	0.563529	114.0	10.6771
	0.564239	89.5	9.46044
	0.564949	104.5	10.2225
	0.56566	98.5	9.92472
	0.56637	116.0	10.7703
	0.56708	105.0	10.247
	0.567791	108.0	10.3923
	0.568501	84.0	9.16515
	0.569212	117.0	10.8167
	0.569922	95.5	9.77241
	0.570632	110.5	10.5119
	0.571343	84.5	9.19239
	0.572053	82.5	9.08295
	0.572763	86.0	9.27362
	0.573474	86.5	9.30054
	0.574184	81.5	9.02773
	0.574894	53.0	7.28011
	0.575605	63.0	7.93725
	0.576315	83.5	9.13783
	0.577025	83.5	9.13783
	0.577735	77.5	8.80341
	0.578446	63.5	7.96869
	0.579156	72.5	8.51469
	0.579866	61.5	7.84219
	0.580577	45.0	6.7082
	0.581287	51.0	7.14143
	0.581997	51.5	7.17635
	0.582708	59.5	7.71362
	0.583418	56.5	7.51665
	0.584128	42.5	6.5192
	0.584838	37.0	6.08276
	0.585549	35.0	5.91608
	0.586259	34.5	5.87367
	0.586969	44.0	6.63325
	0.587679	29.5	5.43139
	0.58839	34.5	5.87367
	0.5891	29.0	5.38517
	0.58981	29.5	5.43139
	0.59052	29.0	5.38517
	0.591231	14.0	3.74166
	0.591941	27.5	5.24404
	0.592651	22.5	4.74342
	0.593361	18.5	4.30116
	0.594071	15.5	3.937
	0.594782	13.5	3.67424
	0.595492	12.5	3.53553
	0.596202	17.5	4.1833
	0.596912	15.5	3.937
	0.597622	15.0	3.87298
	0.598332	15.0	3.87298
	0.599043	5.0	2.23607
	0.599753	20.0	4.47214
	0.600463	6.0	2.44949
	0.601173	12.0	3.4641
	0.601883	12.0	3.4641
	0.602593	3.0	1.73205
	0.603304	2.0	1.41421
	0.604014	2.0	1.41421
	0.604724	7.0	2.64575
	0.606144	2.0	1.41421
	0.607564	6.0	2.44949
	0.608985	2.0	1.41421
	0.609695	4.0	2.0
	0.610405	7.0	2.64575
	0.611115	5.0	2.23607
	0.613245	6.0	2.44949
	0.613955	5.0	2.23607
	0.614665	3.0	1.73205
	0.615375	3.0	1.73205
	0.616085	3.0	1.73205
	0.616796	4.0	2.0
	0.617506	4.0	2.0
	0.618216	14.0	3.74166
	0.618926	10.0	3.16228
	0.619636	9.0	3.0
	0.620346	9.0	3.0
	0.621056	14.0	3.74166
	0.621766	20.5	4.52769
	0.622476	7.5	2.73861
	0.623186	16.0	4.0
	0.623896	16.5	4.06202
	0.624606	24.5	4.94975
	0.625316	19.0	4.3589
	0.626026	13.0	3.60555
	0.626736	23.0	4.79583
	0.627446	14.0	3.74166
	0.628156	17.5	4.1833
	0.628866	28.0	5.2915
	0.629576	26.0	5.09902
	0.630286	26.5	5.14782
	0.630996	29.0	5.38517
	0.631706	30.0	5.47723
	0.632416	29.0	5.38517
	0.633126	41.0	6.40312
	0.633835	35.0	5.91608
	0.634545	41.0	6.40312
	0.635255	52.5	7.24569
	0.635965	41.5	6.44205
	0.636675	22.0	4.69042
	0.637385	30.0	5.47723
	0.638095	52.0	7.2111
	0.638805	59.5	7.71362
	0.639515	39.0	6.245
	0.640225	22.5	4.74342
	0.640935	22.5	4.74342
	0.641645	47.0	6.85566
	0.642354	60.5	7.77817
	0.643064	41.5	6.44205
	0.643774	46.5	6.81909
	0.644484	52.5	7.24569
	0.645194	61.0	7.81025
	0.645904	58.5	7.64853
	0.646614	57.0	7.54983
	0.647323	55.5	7.44983
	0.648033	48.5	6.96419
	0.648743	67.5	8.21584
	0.649453	63.5	7.96869
	0.650163	40.0	6.32455
	0.650873	56.5	7.51665
	0.651582	63.0	7.93725
	0.652292	80.0	8.94427
	0.653002	64.0	8.0
	0.653712	55.0	7.4162
	0.654422	50.5	7.10634
	0.655132	63.5	7.96869
	0.655841	52.5	7.24569
	0.656551	57.5	7.58287
	0.657261	60.5	7.77817
	0.657971	74.0	8.60233
	0.65868	68.0	8.24621
	0.65939	54.5	7.38241
	0.6601	66.0	8.12404
	0.66081	57.5	7.58287
	0.661519	65.0	8.06226
	0.662229	41.5	6.44205
	0.662939	59.5	7.71362
	0.663649	55.5	7.44983
	0.664358	71.5	8.45577
	0.665068	41.5	6.44205
	0.665778	63.5	7.96869
	0.666488	46.5	6.81909
	0.667197	59.5	7.71362
	0.667907	54.5	7.38241
	0.668617	55.0	7.4162
	0.669326	43.5	6.59545
	0.670036	71.0	8.42615
	0.670746	53.0	7.28011
	0.671455	68.5	8.27647
	0.672165	46.5	6.81909
	0.672875	45.0	6.7082
	0.673584	33.0	5.74456
	0.674294	21.5	4.63681
	0.675004	45.5	6.74537
	0.675713	48.0	6.9282
	0.676423	29.5	5.43139
	0.677133	40.5	6.36396
	0.677842	32.0	5.65685
	0.678552	45.5	6.74537
	0.679262	31.5	5.61249
	0.679971	36.0	6.0
	0.680681	40.0	6.32455
	0.68139	34.5	5.87367
	0.6821	38.5	6.20484
	0.68281	47.0	6.85566
	0.683519	42.0	6.48074
	0.684229	40.5	6.36396
	0.684938	32.5	5.70088
	0.685648	36.0	6.0
	0.686357	32.0	5.65685
	0.687067	43.5	6.59545
	0.687777	30.5	5.52268
	0.688486	23.0	4.79583
	0.689196	14.0	3.74166
	0.689905	18.5	4.30116
	0.690615	41.0	6.40312
	0.691324	28.0	5.2915
	0.692034	10.5	3.24037
	0.692743	5.0	2.23607
	0.693453	26.0	5.09902
	0.694162	18.5	4.30116
	0.694872	17.5	4.1833
	0.695581	17.0	4.12311
	0.696291	17.0	4.12311
	0.697001	23.0	4.79583
	0.69771	10.5	3.24037
	0.698419	27.0	5.19615
	0.699129	12.5	3.53553
	0.699838	20.0	4.47214
	0.700548	6.0	2.44949
	0.701257	21.0	4.58258
	0.701967	11.0	3.31663
	0.702676	9.0	3.0
	0.703386	4.0	2.0
	0.704095	8.5	2.91548
	0.704805	5.5	2.34521
	0.705514	7.5	2.73861
	0.706223	12.5	3.53553
	0.706933	10.0	3.16228
	0.707642	7.0	2.64575
	0.708352	6.0	2.44949
	0.709061	5.0	2.23607
	0.70977	5.0	2.23607
	0.71048	3.0	1.73205
	0.711189	2.0	1.41421
