TDI Format 1.5	Offset	Absorption::R	Absorption::Theta	Absorption::X	Absorption::Y	iterator	multi[0]:iterator	multi[0]:y	multi[1]:iterator	multi[1]:y	multi[1]:Gate Readback std	multi[1]:Gate Readback
 	0E+0	2.528825982E-7	-1.75236E+2	-2.950289907E-7	-4.214709969E-8	1.952E+3	1E+0	5E+9	3.33E+2	-1.654169166E-1	1.032751919E-2	3.321532554E+0
 	0E+0	1.264411577E-7	1.7187E+2	-1.685883988E-7	0E+0	1.953E+3	1E+0	5E+9	3.34E+2	-1.651169766E-1	1.033502722E-2	3.321376894E+0
 	0E+0	8.429434081E-8	1.2369E+2	-8.429434081E-8	4.214709969E-8	1.954E+3	1E+0	5E+9	3.35E+2	-1.648170366E-1	1.035204668E-2	3.321196263E+0
 	0E+0	3.371767975E-7	2.6562E+1	2.950289907E-7	1.264411577E-7	1.955E+3	1E+0	5E+9	3.36E+2	-1.645170966E-1	1.027619224E-2	3.321521528E+0
 	0E+0	1.264411577E-7	0E+0	1.264411577E-7	0E+0	1.956E+3	1E+0	5E+9	3.37E+2	-1.642171566E-1	1.037719031E-2	3.321235827E+0
 	0E+0	2.950289907E-7	-9.4086E+1	-4.214709969E-8	-3.371767975E-7	1.957E+3	1E+0	5E+9	3.38E+2	-1.639172166E-1	1.029593324E-2	3.321524446E+0
 	0E+0	1.264411577E-7	-9E+1	0E+0	-1.685883988E-7	1.958E+3	1E+0	5E+9	3.39E+2	-1.636172765E-1	1.031257587E-2	3.321510502E+0
 	0E+0	5.057651963E-7	1.11804E+2	-2.107362056E-7	4.636173895E-7	1.959E+3	1E+0	5E+9	3.4E+2	-1.633173365E-1	1.031313148E-2	3.321527689E+0
 	0E+0	7.586477945E-7	8.4804E+1	4.214709969E-8	7.586477945E-7	1.96E+3	1E+0	5E+9	3.41E+2	-1.630173965E-1	1.030073245E-2	3.321558821E+0
 	0E+0	1.685883988E-7	1.04034E+2	-8.429434081E-8	1.685883988E-7	1.961E+3	1E+0	5E+9	3.42E+2	-1.627174565E-1	1.035133592E-2	3.321587035E+0
 	0E+0	1.685883988E-7	1.19748E+2	-1.264411577E-7	1.264411577E-7	1.962E+3	1E+0	5E+9	3.43E+2	-1.624175165E-1	1.03239239E-2	3.321478397E+0
 	0E+0	4.636173895E-7	1.39086E+2	-3.793246043E-7	2.950289907E-7	1.963E+3	1E+0	5E+9	3.44E+2	-1.621175765E-1	1.031833589E-2	3.32164638E+0
 	0E+0	7.165014019E-7	1.67274E+2	-7.586477945E-7	1.264411577E-7	1.964E+3	1E+0	5E+9	3.45E+2	-1.618176365E-1	1.028707242E-2	3.321477748E+0
 	0E+0	6.743550093E-7	1.78092E+2	-7.165014019E-7	0E+0	1.965E+3	1E+0	5E+9	3.46E+2	-1.615176965E-1	1.032778853E-2	3.321522176E+0
 	0E+0	5.479115889E-7	-1.70538E+2	-5.900579815E-7	-1.264411577E-7	1.966E+3	1E+0	5E+9	3.47E+2	-1.612177564E-1	1.033118544E-2	3.321522825E+0
 	0E+0	2.528825982E-7	-1.45008E+2	-2.528825982E-7	-1.685883988E-7	1.967E+3	1E+0	5E+9	3.48E+2	-1.609178164E-1	1.023079866E-2	3.321523798E+0
 	0E+0	4.214709969E-7	-1.1238E+2	-1.685883988E-7	-4.214709969E-7	1.968E+3	1E+0	5E+9	3.49E+2	-1.606178764E-1	1.022794647E-2	3.321491044E+0
 	0E+0	5.479115889E-7	-1.24992E+2	-3.371767975E-7	-5.057651963E-7	1.969E+3	1E+0	5E+9	3.5E+2	-1.603179364E-1	1.020009395E-2	3.321613302E+0
 	0E+0	3.371767975E-7	-1.18302E+2	-1.685883988E-7	-3.371767975E-7	1.97E+3	1E+0	5E+9	3.51E+2	-1.600179964E-1	1.028710189E-2	3.321471263E+0
 	0E+0	8.429434081E-8	-9E+1	0E+0	-1.264411577E-7	1.971E+3	1E+0	5E+9	3.52E+2	-1.597180564E-1	1.024918744E-2	3.321636327E+0
 	0E+0	2.528825982E-7	-9.5196E+1	-4.214709969E-8	-2.950289907E-7	1.972E+3	1E+0	5E+9	3.53E+2	-1.594181164E-1	1.02666093E-2	3.321624977E+0
 	0E+0	5.057651963E-7	-1.15464E+2	-2.528825982E-7	-5.057651963E-7	1.973E+3	1E+0	5E+9	3.54E+2	-1.591181764E-1	1.019725703E-2	3.321601952E+0
 	0E+0	3.793246043E-7	-1.59444E+2	-3.793246043E-7	-1.685883988E-7	1.974E+3	1E+0	5E+9	3.55E+2	-1.588182364E-1	1.023402387E-2	3.321646056E+0
 	0E+0	4.214709969E-7	1.35E+2	-3.371767975E-7	2.950289907E-7	1.975E+3	1E+0	5E+9	3.56E+2	-1.585182963E-1	1.017482024E-2	3.321490072E+0
 	0E+0	4.636173895E-7	1.22904E+2	-2.950289907E-7	3.793246043E-7	1.976E+3	1E+0	5E+9	3.57E+2	-1.582183563E-1	1.023923611E-2	3.321631787E+0
 	0E+0	2.950289907E-7	1.26024E+2	-2.107362056E-7	2.528825982E-7	1.977E+3	1E+0	5E+9	3.58E+2	-1.579184163E-1	1.022967704E-2	3.32162368E+0
 	0E+0	3.793246043E-7	1.8E+2	-4.214709969E-7	0E+0	1.978E+3	1E+0	5E+9	3.59E+2	-1.576184763E-1	1.021664904E-2	3.321512123E+0
 	0E+0	3.371767975E-7	-1.50252E+2	-3.371767975E-7	-2.107362056E-7	1.979E+3	1E+0	5E+9	3.6E+2	-1.573185363E-1	1.028637465E-2	3.321647677E+0
 	0E+0	3.371767975E-7	1.42434E+2	-3.371767975E-7	2.107362056E-7	1.98E+3	1E+0	5E+9	3.61E+2	-1.570185963E-1	1.020812422E-2	3.321706699E+0
 	0E+0	7.586477945E-7	1.60464E+2	-7.586477945E-7	2.528825982E-7	1.981E+3	1E+0	5E+9	3.62E+2	-1.567186563E-1	1.005474011E-2	3.321494936E+0
 	0E+0	8.429419939E-7	1.68996E+2	-8.850883864E-7	1.264411577E-7	1.982E+3	1E+0	5E+9	3.63E+2	-1.564187163E-1	1.020999874E-2	3.32180431E+0
 	0E+0	5.057651963E-7	-1.40196E+2	-4.636173895E-7	-3.793246043E-7	1.983E+3	1E+0	5E+9	3.64E+2	-1.561187762E-1	1.021402502E-2	3.321717076E+0
 	0E+0	5.479115889E-7	-9.4764E+1	-8.429434081E-8	-5.900579815E-7	1.984E+3	1E+0	5E+9	3.65E+2	-1.558188362E-1	1.020135011E-2	3.321648002E+0
 	0E+0	7.165014019E-7	-8.4474E+1	4.214709969E-8	-7.586477945E-7	1.985E+3	1E+0	5E+9	3.66E+2	-1.555188962E-1	1.046173012E-2	3.321945702E+0
 	0E+0	4.636173895E-7	-8.4288E+1	4.214709969E-8	-5.057651963E-7	1.986E+3	1E+0	5E+9	3.67E+2	-1.552189562E-1	1.025904219E-2	3.321742371E+0
 	0E+0	3.371767975E-7	-5.2434E+1	2.107362056E-7	-3.371767975E-7	1.987E+3	1E+0	5E+9	3.68E+2	-1.549190162E-1	9.900264796E-3	3.321441103E+0
 	0E+0	4.214709969E-7	3.18E+0	4.214709969E-7	0E+0	1.988E+3	1E+0	5E+9	3.69E+2	-1.546190762E-1	9.856245378E-3	3.321196587E+0
 	0E+0	8.429419939E-7	6.2742E+1	3.793246043E-7	7.586477945E-7	1.989E+3	1E+0	5E+9	3.7E+2	-1.543191362E-1	9.828153165E-3	3.321455697E+0
 	0E+0	6.743550093E-7	8.0538E+1	8.429434081E-8	6.743550093E-7	1.99E+3	1E+0	5E+9	3.71E+2	-1.540191962E-1	1.030803706E-2	3.32171513E+0
 	0E+0	4.636173895E-7	1.04742E+2	-1.264411577E-7	4.214709969E-7	1.991E+3	1E+0	5E+9	3.72E+2	-1.537192561E-1	1.011538866E-2	3.322318313E+0
 	0E+0	2.950289907E-7	1.75602E+2	-3.371767975E-7	0E+0	1.992E+3	1E+0	5E+9	3.73E+2	-1.534193161E-1	1.025620825E-2	3.321911327E+0
 	0E+0	4.636173895E-7	-1.53438E+2	-4.636173895E-7	-2.528825982E-7	1.993E+3	1E+0	5E+9	3.74E+2	-1.531193761E-1	1.007872413E-2	3.321448562E+0
 	0E+0	5.057651963E-7	-1.49034E+2	-5.057651963E-7	-2.950289907E-7	1.994E+3	1E+0	5E+9	3.75E+2	-1.528194361E-1	1.011985272E-2	3.321986562E+0
 	0E+0	5.479115889E-7	1.55556E+2	-5.479115889E-7	2.107362056E-7	1.995E+3	1E+0	5E+9	3.76E+2	-1.525194961E-1	1.036753696E-2	3.322381874E+0
 	0E+0	5.479115889E-7	1.72878E+2	-5.900579815E-7	4.214709969E-8	1.996E+3	1E+0	5E+9	3.77E+2	-1.522195561E-1	1.039467907E-2	3.321888302E+0
 	0E+0	6.322057883E-7	-1.58196E+2	-5.900579815E-7	-2.528825982E-7	1.997E+3	1E+0	5E+9	3.78E+2	-1.519196161E-1	1.029240575E-2	3.322097146E+0
 	0E+0	6.743550093E-7	-1.5429E+2	-6.743550093E-7	-3.371767975E-7	1.998E+3	1E+0	5E+9	3.79E+2	-1.516196761E-1	1.029102432E-2	3.322271615E+0
 	0E+0	7.586477945E-7	-1.58838E+2	-7.586477945E-7	-2.950289907E-7	1.999E+3	1E+0	5E+9	3.8E+2	-1.513197361E-1	1.002006842E-2	3.321830902E+0
 	0E+0	6.322057883E-7	-1.3353E+2	-4.636173895E-7	-5.057651963E-7	2E+3	1E+0	5E+9	3.81E+2	-1.51019796E-1	1.016460584E-2	3.322095849E+0
 	0E+0	5.479115889E-7	-1.36638E+2	-4.636173895E-7	-4.214709969E-7	2.001E+3	1E+0	5E+9	3.82E+2	-1.50719856E-1	1.00963035E-2	3.322007966E+0
 	0E+0	4.214709969E-7	1.8E+2	-4.636173895E-7	0E+0	2.002E+3	1E+0	5E+9	3.83E+2	-1.50419916E-1	1.020172069E-2	3.322126332E+0
 	0E+0	8.429419939E-7	1.49304E+2	-7.586477945E-7	4.214709969E-7	2.003E+3	1E+0	5E+9	3.84E+2	-1.50119976E-1	1.014071714E-2	3.322031315E+0
 	0E+0	5.479115889E-7	-1.7316E+2	-5.900579815E-7	-8.429434081E-8	2.004E+3	1E+0	5E+9	3.85E+2	-1.49820036E-1	1.014277129E-2	3.322018992E+0
 	0E+0	5.057651963E-7	-9.9864E+1	-1.264411577E-7	-5.479115889E-7	2.005E+3	1E+0	5E+9	3.86E+2	-1.49520096E-1	1.020568997E-2	3.322056285E+0
 	0E+0	3.371767975E-7	-7.4052E+1	8.429434081E-8	-3.371767975E-7	2.006E+3	1E+0	5E+9	3.87E+2	-1.49220156E-1	1.017371171E-2	3.322050772E+0
 	0E+0	1.264411577E-7	-9.9462E+1	-4.214709969E-8	-1.685883988E-7	2.007E+3	1E+0	5E+9	3.88E+2	-1.48920216E-1	1.017497893E-2	3.321924947E+0
 	0E+0	4.636173895E-7	1.12836E+2	-2.107362056E-7	4.214709969E-7	2.008E+3	1E+0	5E+9	3.89E+2	-1.486202759E-1	1.015098205E-2	3.322192812E+0
 	0E+0	3.371767975E-7	1.04934E+2	-1.264411577E-7	3.371767975E-7	2.009E+3	1E+0	5E+9	3.9E+2	-1.483203359E-1	1.017459024E-2	3.321961268E+0
 	0E+0	4.636173895E-7	9.2724E+1	-4.214709969E-8	4.636173895E-7	2.01E+3	1E+0	5E+9	3.91E+2	-1.480203959E-1	1.015446171E-2	3.322080931E+0
 	0E+0	5.057651963E-7	8.2236E+1	4.214709969E-8	5.057651963E-7	2.011E+3	1E+0	5E+9	3.92E+2	-1.477204559E-1	1.011184288E-2	3.322170112E+0
 	0E+0	6.322057883E-7	1.071E+2	-2.107362056E-7	5.900579815E-7	2.012E+3	1E+0	5E+9	3.93E+2	-1.474205159E-1	1.014348844E-2	3.322116279E+0
 	0E+0	1.264411577E-7	1.70538E+2	-1.685883988E-7	0E+0	2.013E+3	1E+0	5E+9	3.94E+2	-1.471205759E-1	1.007393251E-2	3.32206569E+0
 	0E+0	6.322057883E-7	-9.6114E+1	-8.429434081E-8	-6.743550093E-7	2.014E+3	1E+0	5E+9	3.95E+2	-1.468206359E-1	1.015052531E-2	3.322041368E+0
 	0E+0	8.429419939E-7	-1.14444E+2	-3.793246043E-7	-8.007956013E-7	2.015E+3	1E+0	5E+9	3.96E+2	-1.465206959E-1	1.018108669E-2	3.322029693E+0
 	0E+0	4.214709969E-7	-1.41342E+2	-3.793246043E-7	-2.950289907E-7	2.016E+3	1E+0	5E+9	3.97E+2	-1.462207558E-1	1.015324812E-2	3.322156491E+0
 	0E+0	7.165014019E-7	1.41342E+2	-5.900579815E-7	4.636173895E-7	2.017E+3	1E+0	5E+9	3.98E+2	-1.459208158E-1	1.010781153E-2	3.321932406E+0
 	0E+0	1.095823178E-6	1.50708E+2	-9.693825858E-7	5.057651963E-7	2.018E+3	1E+0	5E+9	3.99E+2	-1.456208758E-1	1.015234099E-2	3.322198974E+0
 	0E+0	1.13796957E-6	1.40628E+2	-9.272361932E-7	7.165014019E-7	2.019E+3	1E+0	5E+9	4E+2	-1.453209358E-1	1.017537106E-2	3.322085472E+0
 	0E+0	7.586477945E-7	1.30032E+2	-5.057651963E-7	5.479115889E-7	2.02E+3	1E+0	5E+9	4.01E+2	-1.450209958E-1	1.014262395E-2	3.322128602E+0
 	0E+0	4.214709969E-7	1.32708E+2	-2.950289907E-7	2.950289907E-7	2.021E+3	1E+0	5E+9	4.02E+2	-1.447210558E-1	1.013943512E-2	3.322115306E+0
 	0E+0	2.107362056E-7	-1.59444E+2	-2.107362056E-7	-8.429434081E-8	2.022E+3	1E+0	5E+9	4.03E+2	-1.444211158E-1	1.019059917E-2	3.322222971E+0
 	0E+0	2.950289907E-7	-9E+1	0E+0	-3.371767975E-7	2.023E+3	1E+0	5E+9	4.04E+2	-1.441211758E-1	1.017010071E-2	3.322230754E+0
 	0E+0	3.793246043E-7	-6.6372E+1	1.264411577E-7	-3.793246043E-7	2.024E+3	1E+0	5E+9	4.05E+2	-1.438212358E-1	1.011161081E-2	3.322141898E+0
 	0E+0	4.214709969E-7	-8.3988E+1	4.214709969E-8	-4.636173895E-7	2.025E+3	1E+0	5E+9	4.06E+2	-1.435212957E-1	1.009534646E-2	3.322200595E+0
 	0E+0	3.793246043E-7	-1.35E+2	-2.950289907E-7	-2.950289907E-7	2.026E+3	1E+0	5E+9	4.07E+2	-1.432213557E-1	1.006990077E-2	3.322035531E+0
 	0E+0	2.528825982E-7	-1.24992E+2	-1.685883988E-7	-2.528825982E-7	2.027E+3	1E+0	5E+9	4.08E+2	-1.429214157E-1	1.006342775E-2	3.322163626E+0
 	0E+0	5.479115889E-7	-1.26384E+2	-3.371767975E-7	-4.636173895E-7	2.028E+3	1E+0	5E+9	4.09E+2	-1.426214757E-1	1.012308445E-2	3.322197028E+0
 	0E+0	4.214709969E-7	-1.32882E+2	-3.371767975E-7	-3.371767975E-7	2.029E+3	1E+0	5E+9	4.1E+2	-1.423215357E-1	1.025509364E-2	3.322162653E+0
 	0E+0	1.264411577E-7	9E+1	0E+0	1.264411577E-7	2.03E+3	1E+0	5E+9	4.11E+2	-1.420215957E-1	1.005527849E-2	3.322189569E+0
 	0E+0	4.636173895E-7	1.04034E+2	-1.264411577E-7	4.636173895E-7	2.031E+3	1E+0	5E+9	4.12E+2	-1.417216557E-1	1.004520168E-2	3.322111739E+0
 	0E+0	6.322057883E-7	1.17474E+2	-3.371767975E-7	5.479115889E-7	2.032E+3	1E+0	5E+9	4.13E+2	-1.414217157E-1	1.015791749E-2	3.32221681E+0
 	0E+0	7.165014019E-7	1.31184E+2	-5.057651963E-7	5.479115889E-7	2.033E+3	1E+0	5E+9	4.14E+2	-1.411217756E-1	1.014178504E-2	3.322137034E+0
 	0E+0	4.214709969E-7	1.19358E+2	-2.528825982E-7	3.371767975E-7	2.034E+3	1E+0	5E+9	4.15E+2	-1.408218356E-1	1.013758806E-2	3.322068608E+0
 	0E+0	2.528825982E-7	1.45008E+2	-2.528825982E-7	1.264411577E-7	2.035E+3	1E+0	5E+9	4.16E+2	-1.405218956E-1	1.012675041E-2	3.322199622E+0
 	0E+0	4.636173895E-7	1.30914E+2	-3.371767975E-7	3.371767975E-7	2.036E+3	1E+0	5E+9	4.17E+2	-1.402219556E-1	1.001350449E-2	3.322221998E+0
 	0E+0	5.479115889E-7	8.7708E+1	0E+0	5.479115889E-7	2.037E+3	1E+0	5E+9	4.18E+2	-1.399220156E-1	1.012411582E-2	3.322172382E+0
 	0E+0	3.793246043E-7	2.8074E+1	3.371767975E-7	1.685883988E-7	2.038E+3	1E+0	5E+9	4.19E+2	-1.396220756E-1	1.010070009E-2	3.322076067E+0
 	0E+0	1.685883988E-7	0E+0	1.685883988E-7	0E+0	2.039E+3	1E+0	5E+9	4.2E+2	-1.393221356E-1	1.009921429E-2	3.322141898E+0
 	0E+0	2.107362056E-7	-4.0602E+1	1.264411577E-7	-1.685883988E-7	2.04E+3	1E+0	5E+9	4.21E+2	-1.390221956E-1	1.013227556E-2	3.322176922E+0
 	0E+0	1.264411577E-7	1.35E+2	-1.264411577E-7	8.429434081E-8	2.041E+3	1E+0	5E+9	4.22E+2	-1.387222555E-1	1.009298207E-2	3.322170112E+0
 	0E+0	5.900579815E-7	1.28658E+2	-3.793246043E-7	4.636173895E-7	2.042E+3	1E+0	5E+9	4.23E+2	-1.384223155E-1	1.017219981E-2	3.322305666E+0
 	0E+0	5.057651963E-7	1.4631E+2	-4.636173895E-7	2.528825982E-7	2.043E+3	1E+0	5E+9	4.24E+2	-1.381223755E-1	1.001562951E-2	3.322260265E+0
 	0E+0	2.950289907E-7	4.086E+0	2.950289907E-7	0E+0	2.044E+3	1E+0	5E+9	4.25E+2	-1.378224355E-1	1.015255391E-2	3.322207405E+0
 	0E+0	7.165014019E-7	5.163E+1	4.214709969E-7	5.479115889E-7	2.045E+3	1E+0	5E+9	4.26E+2	-1.375224955E-1	1.006642367E-2	3.322186975E+0
 	0E+0	7.586477945E-7	5.4864E+1	4.214709969E-7	6.322057883E-7	2.046E+3	1E+0	5E+9	4.27E+2	-1.372225555E-1	1.000731408E-2	3.322267399E+0
 	0E+0	5.479115889E-7	2.7642E+1	4.636173895E-7	2.528825982E-7	2.047E+3	1E+0	5E+9	4.28E+2	-1.369226155E-1	1.001935897E-2	3.322167193E+0
 	0E+0	4.636173895E-7	2.6562E+1	4.214709969E-7	2.107362056E-7	2.048E+3	1E+0	5E+9	4.29E+2	-1.366226755E-1	1.004759055E-2	3.322258319E+0
 	0E+0	5.479115889E-7	5.6976E+1	2.950289907E-7	4.636173895E-7	2.049E+3	1E+0	5E+9	4.3E+2	-1.363227355E-1	1.008465563E-2	3.32209974E+0
 	0E+0	3.371767975E-7	1.0131E+2	-8.429434081E-8	3.371767975E-7	2.05E+3	1E+0	5E+9	4.31E+2	-1.360227954E-1	1.01763075E-2	3.322015424E+0
 	0E+0	1.264411577E-7	9.813E+1	-4.214709969E-8	1.264411577E-7	2.051E+3	1E+0	5E+9	4.32E+2	-1.357228554E-1	9.921479799E-3	3.322285235E+0
 	0E+0	4.214709969E-7	2.6562E+1	3.371767975E-7	1.685883988E-7	2.052E+3	1E+0	5E+9	4.33E+2	-1.354229154E-1	9.940756339E-3	3.322392252E+0
 	0E+0	3.793246043E-7	1.0008E+1	3.793246043E-7	4.214709969E-8	2.053E+3	1E+0	5E+9	4.34E+2	-1.351229754E-1	1.009354089E-2	3.322532994E+0
 	0E+0	4.636173895E-7	-7.869E+1	8.429434081E-8	-5.057651963E-7	2.054E+3	1E+0	5E+9	4.35E+2	-1.348230354E-1	9.93860345E-3	3.322424357E+0
 	0E+0	8.429419939E-7	-1.10376E+2	-3.371767975E-7	-8.429419939E-7	2.055E+3	1E+0	5E+9	4.36E+2	-1.345230954E-1	1.007873986E-2	3.322148384E+0
 	0E+0	6.743550093E-7	-1.6218E+2	-6.743550093E-7	-2.528825982E-7	2.056E+3	1E+0	5E+9	4.37E+2	-1.342231554E-1	9.947306041E-3	3.322407818E+0
 	0E+0	4.214709969E-7	-9.6342E+1	-8.429434081E-8	-4.636173895E-7	2.057E+3	1E+0	5E+9	4.38E+2	-1.339232154E-1	9.975376238E-3	3.322414952E+0
 	0E+0	6.322057883E-7	-4.9398E+1	4.214709969E-7	-5.057651963E-7	2.058E+3	1E+0	5E+9	4.39E+2	-1.336232753E-1	1.00275673E-2	3.322258968E+0
 	0E+0	5.479115889E-7	-4.5E+1	3.793246043E-7	-4.214709969E-7	2.059E+3	1E+0	5E+9	4.4E+2	-1.333233353E-1	1.006598694E-2	3.3222554E+0
 	0E+0	5.057651963E-7	-5.0196E+1	3.371767975E-7	-4.636173895E-7	2.06E+3	1E+0	5E+9	4.41E+2	-1.330233953E-1	9.980497089E-3	3.322233024E+0
 	0E+0	2.950289907E-7	-6.5226E+1	1.264411577E-7	-3.371767975E-7	2.061E+3	1E+0	5E+9	4.42E+2	-1.327234553E-1	1.002285296E-2	3.322427599E+0
 	0E+0	1.685883988E-7	-3.9804E+1	1.264411577E-7	-1.264411577E-7	2.062E+3	1E+0	5E+9	4.43E+2	-1.324235153E-1	1.001561521E-2	3.322353012E+0
 	0E+0	8.429434081E-8	2.6562E+1	8.429434081E-8	4.214709969E-8	2.063E+3	1E+0	5E+9	4.44E+2	-1.321235753E-1	9.940639596E-3	3.322362417E+0
 	0E+0	8.429434081E-8	-1.58196E+2	-1.264411577E-7	-8.429434081E-8	2.064E+3	1E+0	5E+9	4.45E+2	-1.318236353E-1	9.960427145E-3	3.322479486E+0
 	0E+0	2.107362056E-7	1.47996E+2	-2.107362056E-7	8.429434081E-8	2.065E+3	1E+0	5E+9	4.46E+2	-1.315236953E-1	9.971103174E-3	3.322487269E+0
 	0E+0	2.107362056E-7	5.4462E+1	8.429434081E-8	1.264411577E-7	2.066E+3	1E+0	5E+9	4.47E+2	-1.312237552E-1	1.00742692E-2	3.322479486E+0
 	0E+0	8.429434081E-8	-7.869E+1	0E+0	-1.264411577E-7	2.067E+3	1E+0	5E+9	4.48E+2	-1.309238152E-1	1.004434168E-2	3.322481432E+0
 	0E+0	2.107362056E-7	-1.06698E+2	-8.429434081E-8	-2.528825982E-7	2.068E+3	1E+0	5E+9	4.49E+2	-1.306238752E-1	9.919669437E-3	3.322451597E+0
 	0E+0	5.900579815E-7	-4.3452E+1	4.214709969E-7	-4.636173895E-7	2.069E+3	1E+0	5E+9	4.5E+2	-1.303239352E-1	9.98366031E-3	3.322389009E+0
 	0E+0	1.306557969E-6	-4.0062E+1	1.011528978E-6	-8.850883864E-7	2.07E+3	1E+0	5E+9	4.51E+2	-1.300239952E-1	9.932543482E-3	3.322431491E+0
 	0E+0	1.559439153E-6	-4.1346E+1	1.13796957E-6	-1.053676785E-6	2.071E+3	1E+0	5E+9	4.52E+2	-1.297240552E-1	9.99116605E-3	3.322352039E+0
 	0E+0	1.264410162E-6	-5.9214E+1	6.322057883E-7	-1.13796957E-6	2.072E+3	1E+0	5E+9	4.53E+2	-1.294241152E-1	9.96532791E-3	3.322389333E+0
 	0E+0	1.011528978E-6	-9.2604E+1	-8.429434081E-8	-1.053676785E-6	2.073E+3	1E+0	5E+9	4.54E+2	-1.291241752E-1	9.937871934E-3	3.322402953E+0
 	0E+0	7.586477945E-7	-8.6532E+1	4.214709969E-8	-8.007956013E-7	2.074E+3	1E+0	5E+9	4.55E+2	-1.288242352E-1	9.941664727E-3	3.322464569E+0
 	0E+0	4.636173895E-7	-5.2596E+1	2.950289907E-7	-4.214709969E-7	2.075E+3	1E+0	5E+9	4.56E+2	-1.285242951E-1	9.898429657E-3	3.322427275E+0
 	0E+0	8.429419939E-7	-1.1004E+1	8.429419939E-7	-1.685883988E-7	2.076E+3	1E+0	5E+9	4.57E+2	-1.282243551E-1	1.00053678E-2	3.322540777E+0
 	0E+0	1.095823178E-6	-4.764E+0	1.095823178E-6	-1.264411577E-7	2.077E+3	1E+0	5E+9	4.58E+2	-1.279244151E-1	9.948462121E-3	3.322589745E+0
 	0E+0	7.586477945E-7	2.8884E+1	6.743550093E-7	3.371767975E-7	2.078E+3	1E+0	5E+9	4.59E+2	-1.276244751E-1	9.942212789E-3	3.322568342E+0
 	0E+0	5.057651963E-7	9.9864E+1	-1.264411577E-7	5.057651963E-7	2.079E+3	1E+0	5E+9	4.6E+2	-1.273245351E-1	9.954359185E-3	3.322591043E+0
 	0E+0	2.950289907E-7	1.75914E+2	-3.371767975E-7	0E+0	2.08E+3	1E+0	5E+9	4.61E+2	-1.270245951E-1	9.888860422E-3	3.322561532E+0
 	0E+0	7.586477945E-7	-1.38654E+2	-5.900579815E-7	-5.479115889E-7	2.081E+3	1E+0	5E+9	4.62E+2	-1.267246551E-1	9.944979153E-3	3.32259234E+0
 	0E+0	6.322057883E-7	-1.071E+2	-2.107362056E-7	-6.322057883E-7	2.082E+3	1E+0	5E+9	4.63E+2	-1.264247151E-1	9.879799339E-3	3.32266563E+0
 	0E+0	1.264411577E-7	-1.41342E+2	-1.264411577E-7	-1.264411577E-7	2.083E+3	1E+0	5E+9	4.64E+2	-1.26124775E-1	9.980795414E-3	3.322721408E+0
 	0E+0	3.371767975E-7	-1.65966E+2	-3.793246043E-7	-1.264411577E-7	2.084E+3	1E+0	5E+9	4.65E+2	-1.25824835E-1	9.901143186E-3	3.32268152E+0
 	0E+0	1.264411577E-7	1.8E+2	-1.685883988E-7	0E+0	2.085E+3	1E+0	5E+9	4.66E+2	-1.25524895E-1	1.000712844E-2	3.322937062E+0
 	0E+0	2.023060785E-6	1.44846E+2	-1.685883988E-6	1.13796957E-6	2.086E+3	1E+0	5E+9	4.67E+2	-1.25224955E-1	9.884364608E-3	3.322716544E+0
 	0E+0	1.032602175E-5	1.50516E+2	-9.019472263E-6	5.057637821E-6	2.087E+3	1E+0	5E+9	4.68E+2	-1.24925015E-1	1.003975735E-2	3.322694167E+0
 	0E+0	2.233792748E-5	1.5111E+2	-1.959831297E-5	1.078967166E-5	2.088E+3	1E+0	5E+9	4.69E+2	-1.24625075E-1	9.928847802E-3	3.322460029E+0
 	0E+0	3.043019891E-5	1.5072E+2	-2.659485173E-5	1.487795094E-5	2.089E+3	1E+0	5E+9	4.7E+2	-1.24325135E-1	1.00486313E-2	3.322993813E+0
 	0E+0	3.654143997E-5	1.5006E+2	-3.169464725E-5	1.820757535E-5	2.09E+3	1E+0	5E+9	4.71E+2	-1.24025195E-1	1.013953468E-2	3.323052834E+0
 	0E+0	3.708944773E-5	1.49886E+2	-3.211608289E-5	1.858686743E-5	2.091E+3	1E+0	5E+9	4.72E+2	-1.237252549E-1	1.009295089E-2	3.323010352E+0
 	0E+0	3.620429146E-5	1.49598E+2	-3.127307019E-5	1.833400604E-5	2.092E+3	1E+0	5E+9	4.73E+2	-1.234253149E-1	1.011674863E-2	3.322683142E+0
 	0E+0	1.972474366E-5	1.50222E+2	-1.715384483E-5	9.778112987E-6	2.093E+3	1E+0	5E+9	4.74E+2	-1.231253749E-1	1.007691031E-2	3.323246761E+0
 	0E+0	1.433008461E-6	-3.369E+1	1.180117377E-6	-8.429419939E-7	2.094E+3	1E+0	5E+9	4.75E+2	-1.228254349E-1	1.024731591E-2	3.322993813E+0
 	0E+0	1.129543686E-5	-2.7792E+1	9.988844949E-6	-5.31052749E-6	2.095E+3	1E+0	5E+9	4.76E+2	-1.225254949E-1	1.041300684E-2	3.323257787E+0
 	0E+0	6.617091116E-6	-2.4744E+1	6.027038792E-6	-2.781715651E-6	2.096E+3	1E+0	5E+9	4.77E+2	-1.222255549E-1	9.978489744E-3	3.322717192E+0
 	0E+0	1.980917221E-6	-2.5056E+1	1.812328822E-6	-8.850883864E-7	2.097E+3	1E+0	5E+9	4.78E+2	-1.219256149E-1	1.008010691E-2	3.323390098E+0
