TDI Format 1.5	Offset	Absorption::R	Absorption::Theta	Absorption::X	Absorption::Y	iterator	multi[0]:iterator	multi[0]:y	multi[1]:iterator	multi[1]:y	multi[1]:Gate Readback std	multi[1]:Gate Readback
Absorption:Option: SR830 Expand 2{Enum U16 ((None,10x,100x))}=None	0E+0	3.371767975E-7	1.04934E+2	-1.264411577E-7	3.371767975E-7	2.6E+1	0E+0	4.5E+9	7.5E+1	-2.428014397E-1	1.088958295E-2	3.320611565E+0
Absorption:Option: SR830 Filter Slope{I32}=3	0E+0	2.950289907E-7	3.369E+1	2.528825982E-7	1.685883988E-7	2.7E+1	0E+0	4.5E+9	7.6E+1	-2.425014997E-1	1.075121641E-2	3.320240251E+0
Absorption:Option: SR830 Gain{I32}=16	0E+0	8.007956013E-7	4.2708E+1	5.900579815E-7	5.479115889E-7	2.8E+1	0E+0	4.5E+9	7.7E+1	-2.422015597E-1	1.103398065E-2	3.320562597E+0
Absorption:Option: SR830 Ground Shield?{Boolean}=False	0E+0	8.850883864E-7	5.1342E+1	5.479115889E-7	6.743550093E-7	2.9E+1	0E+0	4.5E+9	7.8E+1	-2.419016197E-1	1.108408981E-2	3.320561624E+0
Absorption:Option: SR830 Harmonic{I32}=1	0E+0	4.214709969E-7	8.3988E+1	4.214709969E-8	4.214709969E-7	3E+1	0E+0	4.5E+9	7.9E+1	-2.416016797E-1	1.064926034E-2	3.320427367E+0
Absorption:Option: SR830 Input{Enum U16 ((A,A-B,I 1MOhm,I 10MOhm))}=A	0E+0	5.057651963E-7	1.2438E+2	-3.371767975E-7	4.214709969E-7	3.1E+1	0E+0	4.5E+9	8E+1	-2.413017397E-1	1.094930418E-2	3.320381966E+0
Absorption:Option: SR830 Line Filter{Boolean}=False	0E+0	5.057651963E-7	1.20966E+2	-2.950289907E-7	4.636173895E-7	3.2E+1	0E+0	4.5E+9	8.1E+1	-2.410017996E-1	1.080836592E-2	3.320265221E+0
Absorption:Option: SR830 No Reset{Boolean}=False	0E+0	4.636173895E-7	1.30914E+2	-3.371767975E-7	3.371767975E-7	3.3E+1	0E+0	4.5E+9	8.2E+1	-2.407018596E-1	1.111073723E-2	3.320616753E+0
Absorption:Option: SR830 Offset 1{Double Float}=0.000000	0E+0	4.636173895E-7	1.39086E+2	-3.793246043E-7	2.950289907E-7	3.4E+1	0E+0	4.5E+9	8.3E+1	-2.404019196E-1	1.119150455E-2	3.321051305E+0
Absorption:Option: SR830 Offset 2{Double Float}=0.000000	0E+0	4.214709969E-8	6.3438E+1	0E+0	4.214709969E-8	3.5E+1	0E+0	4.5E+9	8.4E+1	-2.401019796E-1	1.06680535E-2	3.320470498E+0
Absorption:Option: SR830 Output Channel 1{Boolean}=False	0E+0	3.793246043E-7	-1.0008E+1	3.793246043E-7	-8.429434081E-8	3.6E+1	0E+0	4.5E+9	8.5E+1	-2.398020396E-1	1.049780656E-2	3.320267815E+0
Absorption:Option: SR830 Output Channel 2{Boolean}=False	0E+0	5.057651963E-7	0E+0	5.057651963E-7	0E+0	3.7E+1	0E+0	4.5E+9	8.6E+1	-2.395020996E-1	1.056394976E-2	3.320328134E+0
