Thu Nov 05 19:37:15 2015

        Time,        H_vsm,            m,         Mvol,        Mmass,            X,            Y,      Tsample
           s,            T,          emu,     emu/cm^3,        emu/g,            %,            V,            K

         6:0          6:0          6:0          6:0          6:0          6:0          6:0          6:0 
1.765625E+00 1.900000E-04 2.348747E-04 1.174374E+02          --- 1.856100E-04 -6.675750E-06 1.982800E+02 
2.039062E+00 4.500000E-04 2.582559E-04 1.291279E+02          --- 2.040870E-04 -6.616140E-06 1.982800E+02 
3.195312E+00 7.200000E-04 2.840515E-04 1.420257E+02          --- 2.244720E-04 -6.318120E-06 1.983100E+02 
4.890625E+00 9.700000E-04 3.071315E-04 1.535657E+02          --- 2.427110E-04 -4.589590E-06 1.983100E+02 
6.492188E+00 1.270000E-03 3.296092E-04 1.648046E+02          --- 2.604740E-04 -6.973770E-06 1.983300E+02 
8.195312E+00 1.480000E-03 3.498230E-04 1.749115E+02          --- 2.764480E-04 -5.185630E-06 1.983600E+02 
9.343750E+00 1.740000E-03 3.676996E-04 1.838498E+02          --- 2.905750E-04 -6.020100E-06 1.984000E+02 
1.088281E+01 1.990000E-03 3.912313E-04 1.956157E+02          --- 3.091710E-04 -8.046690E-06 1.984000E+02 
1.258594E+01 2.250000E-03 4.098621E-04 2.049311E+02          --- 3.238940E-04 -5.722080E-06 1.984400E+02 
1.390625E+01 2.510000E-03 4.287182E-04 2.143591E+02          --- 3.387950E-04 -5.304840E-06 1.984800E+02 
1.549219E+01 2.760000E-03 4.476489E-04 2.238244E+02          --- 3.537550E-04 -6.079700E-06 1.985300E+02 
1.703125E+01 3.060000E-03 4.745011E-04 2.372505E+02          --- 3.749750E-04 -6.020100E-06 1.985900E+02 
1.878906E+01 3.270000E-03 4.883789E-04 2.441895E+02          --- 3.859420E-04 -5.900890E-06 1.985900E+02 
2.005469E+01 3.530000E-03 5.096481E-04 2.548241E+02          --- 4.027500E-04 -5.543260E-06 1.986300E+02 
2.164062E+01 3.790000E-03 5.274488E-04 2.637244E+02          --- 4.168170E-04 -4.172350E-06 1.986900E+02 
2.324219E+01 4.050000E-03 5.502276E-04 2.751138E+02          --- 4.348180E-04 -6.437330E-06 1.987300E+02 
2.478125E+01 4.300000E-03 5.672729E-04 2.836364E+02          --- 4.482880E-04 -6.437330E-06 1.987300E+02 
2.648438E+01 4.620000E-03 5.899011E-04 2.949506E+02          --- 4.661700E-04 -5.424050E-06 1.987900E+02 
2.817969E+01 4.820000E-03 6.057404E-04 3.028702E+02          --- 4.786870E-04 -6.258520E-06 1.988500E+02 
2.939062E+01 5.070000E-03 6.227135E-04 3.113567E+02          --- 4.921000E-04 -4.589590E-06 1.989100E+02 
3.087500E+01 5.330000E-03 6.414189E-04 3.207095E+02          --- 5.068820E-04 -7.689060E-06 1.989100E+02 
3.258594E+01 5.580000E-03 6.596713E-04 3.298357E+02          --- 5.213060E-04 -5.960490E-06 1.989700E+02 
3.400000E+01 5.840000E-03 6.809405E-04 3.404703E+02          --- 5.381140E-04 -5.900890E-06 1.990300E+02 
3.553906E+01 6.100000E-03 6.994207E-04 3.497104E+02          --- 5.527180E-04 -5.841280E-06 1.990900E+02 
3.702344E+01 6.380000E-03 7.172961E-04 3.586480E+02          --- 5.668440E-04 -7.212190E-06 1.991500E+02 
3.884375E+01 6.610000E-03 7.335124E-04 3.667562E+02          --- 5.796590E-04 -5.900890E-06 1.991500E+02 
4.015625E+01 6.870000E-03 7.544804E-04 3.772402E+02          --- 5.962290E-04 -6.020100E-06 1.992100E+02 
4.175000E+01 7.120000E-03 7.713004E-04 3.856502E+02          --- 6.095210E-04 -5.543260E-06 1.992700E+02 
4.317969E+01 7.380000E-03 7.866120E-04 3.933060E+02          --- 6.216210E-04 -5.602870E-06 1.993200E+02 
4.477344E+01 7.640000E-03 8.031295E-04 4.015648E+02          --- 6.346740E-04 -6.437330E-06 1.993200E+02 
4.631250E+01 7.940000E-03 8.250783E-04 4.125391E+02          --- 6.520190E-04 -4.589590E-06 1.993700E+02 
4.812500E+01 8.160000E-03 8.394091E-04 4.197046E+02          --- 6.633440E-04 -6.079700E-06 1.994300E+02 
4.933594E+01 8.410000E-03 8.548713E-04 4.274357E+02          --- 6.755630E-04 -5.841280E-06 1.994900E+02 
5.092188E+01 8.800000E-03 8.813452E-04 4.406726E+02          --- 6.964840E-04 -5.602870E-06 1.995400E+02 
5.334375E+01 8.920000E-03 8.889630E-04 4.444815E+02          --- 7.025040E-04 -6.973770E-06 1.995400E+02 
5.400000E+01 9.180000E-03 9.048782E-04 4.524391E+02          --- 7.150810E-04 -5.424050E-06 1.996000E+02 
5.553125E+01 9.440000E-03 9.209427E-04 4.604714E+02          --- 7.277760E-04 -2.920640E-06 1.996400E+02 
5.707031E+01 9.740000E-03 9.371591E-04 4.685795E+02          --- 7.405910E-04 -5.900890E-06 1.996800E+02 
5.888281E+01 9.950000E-03 9.507358E-04 4.753679E+02          --- 7.513200E-04 -5.722080E-06 1.996800E+02 
6.020312E+01 1.020000E-02 9.649920E-04 4.824960E+02          --- 7.625860E-04 -3.933940E-06 1.997300E+02 
6.174219E+01 1.046000E-02 9.797747E-04 4.898873E+02          --- 7.742680E-04 -3.874330E-06 1.997700E+02 
6.322656E+01 1.074000E-02 9.947091E-04 4.973546E+02          --- 7.860700E-04 -5.841280E-06 1.998000E+02 
6.482031E+01 1.097000E-02 1.009644E-03 5.048218E+02          --- 7.978720E-04 -5.006820E-06 1.998000E+02 
6.652344E+01 1.123000E-02 1.023973E-03 5.119866E+02          --- 8.091960E-04 -5.126030E-06 1.998400E+02 
