[Header]
; SQUID VSM Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3540392668.062,03/08/2012,6:24 pm
BYAPP,SQUID AC,0.9.1.0
INFO,SQUID VSM Measurement Release 1.1.7 Build 37,APPNAME
INFO,0,MOMENT_UNITS
INFO,FeNi,SAMPLE_MATERIAL
INFO,Penrose lattice,SAMPLE_COMMENT
INFO,1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,65.55,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal" (V),Range,M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err.(deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3540392760.187,300.160339355469,1.9563535451889,-5.81793225678157E-6,8.8278312413841E-9,1,1,13.9012460708618,7.98168018674371,32.5399996340275,-0.0116025860664421,-0.00175242240267941,1,1.41301567855884E-8,-5.81793225678157E-6,1.41301567855884E-8,,,,,,,,,,,,,,,,,,,,,300.158203125,300.162475585937,1.9563535451889,1.9563535451889,52.3855249873709,5.67536595024986,6.66929769515991,14,1,0,0,0,0.500335693359375,32.2580642700195,1,1,1,300.158203125,0,,,,,,,,,,,,,,,,
,3540392767.109,300.153106689453,2.28664684295654,-5.82317451554508E-6,1.08618999571654E-8,1,1,13.9012460708618,7.98167731619411,32.5499983131886,-0.0116100303737255,-0.00177359326354786,1,4.31502771400386E-9,-5.82317451554508E-6,4.31502771400386E-9,,,,,,,,,,,,,,,,,,,,,300.152648925781,300.153564453125,2.28664684295654,2.28664684295654,52.5047233365536,5.67550472994221,6.65543270111084,14,1,0,0,0,0.4998779296875,32.7468223571777,1,1,1,300.152648925781,0,,,,,,,,,,,,,,,,
,3540392773.422,300.137313842773,2.47720074653626,-5.81653746063446E-6,1.32712715122543E-8,1,1,13.9012460708618,7.98170004801549,32.5399996340275,-0.0115989849741085,-0.00175745002339298,1,1.13953172990948E-8,-5.81653746063446E-6,1.13953172990948E-8,,,,,,,,,,,,,,,,,,,,,300.136688232422,300.137939453125,2.47720074653626,2.47720074653626,52.4109279142459,5.67558912683474,6.64881706237793,14,1,0,0,0,0.501327514648438,32.2580642700195,1,1,1,300.136688232422,0,,,,,,,,,,,,,,,,
,3540392779.562,300.123947143555,2.61694049835205,-5.81086382472018E-6,1.03460006896934E-8,1,1,13.9012460708618,7.98177496000853,32.5499983131886,-0.0115889846844458,-0.0017475925987668,1,1.54736728165388E-8,-5.81086382472018E-6,1.54736728165388E-8,,,,,,,,,,,,,,,,,,,,,300.123596191406,300.124298095703,2.61694049835205,2.61694049835205,52.3870882444094,5.67518525948303,6.66415119171143,14,1,0,0,0,0.50140380859375,32.7468223571777,1,1,1,300.123596191406,0,,,,,,,,,,,,,,,,
,3540392786.546,300.136505126953,2.84560513496399,-5.80966369038192E-6,1.16117547401118E-8,1,1,13.9012460708618,7.98168602236654,32.5399996340275,-0.0115889508060536,-0.00173137018503739,1,2.34213462744898E-8,-5.80966369038191E-6,2.34213462744898E-8,,,,,,,,,,,,,,,,,,,,,300.135894775391,300.137115478516,2.84560513496399,2.84560513496399,52.4238247848132,5.67571823574326,6.67100286483765,14,1,0,0,0,0.497817993164063,32.7468223571777,1,1,1,300.137115478516,0,,,,,,,,,,,,,,,,
,3540392793.616,300.122131347656,3.15049123764038,-5.8136140039011E-6,1.00950896502559E-8,1,1,13.9012460708618,7.98169839166151,32.5399996340275,-0.0115926093834773,-0.00176011280591049,1,9.61069102792516E-9,-5.8136140039011E-6,9.61069102792516E-9,,,,,,,,,,,,,,,,,,,,,300.119506835937,300.124755859375,3.15049123764038,3.15049123764038,52.519574278419,5.67553871168058,6.66073417663574,14,1,0,0,0,0.50079345703125,32.7468223571777,1,1,1,300.118255615234,0,,,,,,,,,,,,,,,,
,3540392799.906,300.074615478516,3.2902307510376,-5.81330728102663E-6,9.13512940607662E-9,1,1,13.9012460708618,7.98172351070348,32.5399996340275,-0.0115947964857395,-0.00174192879059522,1,1.86866463936835E-8,-5.81330728102663E-6,1.86866463936835E-8,,,,,,,,,,,,,,,,,,,,,300.070526123047,300.078704833984,3.2902307510376,3.2902307510376,52.3655934601305,5.67558786735972,6.65207386016846,14,1,0,0,0,0.49774169921875,32.7468223571777,1,1,1,300.070526123047,0,,,,,,,,,,,,,,,,
,3540392808.789,300.028518676758,3.63322782516479,-5.82380614922742E-6,1.26772063414153E-8,1,1,13.9012460708618,7.98171474283585,32.5399996340275,-0.0116145594696045,-0.00175269467020135,1,1.4897529478192E-8,-5.82380614922742E-6,1.4897529478192E-8,,,,,,,,,,,,,,,,,,,,,300.02294921875,300.034088134766,3.63322782516479,3.63322782516479,52.3558231036401,5.67568140687581,6.65300703048706,14,1,0,0,0,0.500640869140625,33.2355842590332,1,1,1,300.02294921875,0,,,,,,,,,,,,,,,,
,3540392815.211,299.97282409668,3.96352124214172,-5.82421851351923E-6,1.09356277963098E-8,1,1,13.9012460708618,7.9817296350089,32.5399996340275,-0.0116170942342794,-0.00174174735628516,1,2.04531574946137E-8,-5.82421851351923E-6,2.04531574946137E-8,,,,,,,,,,,,,,,,,,,,,299.969482421875,299.976165771484,3.96352124214172,3.96352124214172,52.4234339705536,5.67561488617607,6.65858507156372,14,1,0,0,0,0.49835205078125,32.7468223571777,1,1,1,299.969482421875,0,,,,,,,,,,,,,,,,
,3540392824.188,299.941452026367,4.26840734481812,-5.81126274179441E-6,1.16349766387413E-8,1,1,13.9012460708618,7.98194485470122,32.5499983131886,-0.0115875814290943,-0.00176297435035169,1,7.82990968199398E-9,-5.81126274179441E-6,7.82990968199398E-9,,,,,,,,,,,,,,,,,,,,,299.936798095703,299.946105957031,4.26840734481812,4.26840734481812,52.4578256253998,5.67492734009047,6.65638971328735,14,1,0,0,0,0.500717163085937,33.2355842590332,1,1,1,299.936798095703,0,,,,,,,,,,,,,,,,
