TDI Format 1.5	Offset	YIG-Nb-Co::R	YIG-Nb-Co::Theta	Nb::R	Nb::Theta	YIG-Co-Nb::R	YIG-Co-Nb::Theta	iterator	y	temperature: setpoint	temperature: T1	temperature: T2	temperature: T3	temperature: T4	temperature: heater	temperature: gas	temperature: dT/dt	temperature: current temperature	temperature: error
2nd Parameter Class{String}=Temperature Control	0E+0	7.39513485E-1	-1.3728E+1	7.132147696E-1	6.564E+0	2.61649308E-1	7.086E+0	0E+0	9E+0	9E+0	8.993E+0	8.903E+0	NaN	NaN	7.9E+0	9E+0	2.527632285E-3	8.994E+0	6E-3
2nd Parameter Class Path{Path}=..\\..\\..\\..\\..\\..\\..	0E+0	7.39513485E-1	-1.3728E+1	7.132147696E-1	6.564E+0	2.61649308E-1	7.086E+0	0E+0	9E+0	8.943E+0	8.955E+0	8.872E+0	NaN	NaN	7.8E+0	8.941E+0	-3.189599141E-2	8.954E+0	-1.1E-2
Analysis Class{String}=Basic Plot	0E+0	7.395983378E-1	-1.3734E+1	7.132147696E-1	6.564E+0	2.61649308E-1	7.08E+0	0E+0	9E+0	8.943E+0	8.955E+0	8.872E+0	NaN	NaN	7.8E+0	8.941E+0	-3.189599141E-2	8.954E+0	-1.1E-2
Analysis Class Path{Path}=C\\Program Files (x86)\\National Instruments\\LabVIEW 2012\\Stonerlab\\Programs\\Source Meter IV\\plugins\\Plotting\\Plotting_Base_class\\Plotting_Base.lvclass	0E+0	7.395983378E-1	-1.3734E+1	7.132982082E-1	6.564E+0	2.61649308E-1	7.086E+0	0E+0	9E+0	8.943E+0	8.955E+0	8.872E+0	NaN	NaN	7.8E+0	8.941E+0	-3.189599141E-2	8.954E+0	-1.1E-2
Analysis.# pre-routines{I32}=0	0E+0	7.39513485E-1	-1.3728E+1	7.132982082E-1	6.564E+0	2.61649308E-1	7.086E+0	0E+0	9E+0	8.943E+0	8.955E+0	8.872E+0	NaN	NaN	7.8E+0	8.941E+0	-3.189599141E-2	8.954E+0	-1.1E-2
Control: Display{Enum U16 ((Function Generator,Multi-Segment Ramp,List of Values))}=List of Values	0E+0	7.39513485E-1	-1.3728E+1	7.132982082E-1	6.564E+0	2.61649308E-1	7.086E+0	0E+0	9E+0	8.943E+0	8.955E+0	8.872E+0	NaN	NaN	7.8E+0	8.941E+0	-3.189599141E-2	8.954E+0	-1.1E-2
Control: Gate delay{Double Float}=0.000000	0E+0	7.39513485E-1	-1.3728E+1	7.132982082E-1	6.564E+0	2.61649308E-1	7.086E+0	0E+0	9E+0	8.943E+0	8.955E+0	8.872E+0	NaN	NaN	7.8E+0	8.941E+0	-3.189599141E-2	8.954E+0	-1.1E-2
Control: Monitor Update Timeout{Double Float}=0.010000	0E+0	7.395983378E-1	-1.3734E+1	7.132982082E-1	6.564E+0	2.61649308E-1	7.08E+0	0E+0	9E+0	8.943E+0	8.955E+0	8.872E+0	NaN	NaN	7.8E+0	8.941E+0	-3.189599141E-2	8.954E+0	-1.1E-2
Control: Motor Control Type{Enum U16 ((Leeds Arduion,Cryogenics MNVC))}=Leeds Arduion	0E+0	7.39513485E-1	-1.3728E+1	7.132982082E-1	6.564E+0	2.61649308E-1	7.08E+0	0E+0	9E+0	8.943E+0	8.955E+0	8.872E+0	NaN	NaN	7.8E+0	8.941E+0	-3.189599141E-2	8.954E+0	-1.1E-2
Control: Open T Window{Boolean}=False	0E+0	7.39513485E-1	-1.3728E+1	7.132982082E-1	6.564E+0	2.616917344E-1	7.074E+0	0E+0	9E+0	8.943E+0	8.955E+0	8.872E+0	NaN	NaN	7.8E+0	8.941E+0	-3.189599141E-2	8.954E+0	-1.1E-2
Control: Reverse Temperature Sense{Boolean}=True	0E+0	7.39513485E-1	-1.3728E+1	7.132982082E-1	6.564E+0	2.616917344E-1	7.074E+0	0E+0	9E+0	8.943E+0	8.955E+0	8.872E+0	NaN	NaN	7.8E+0	8.941E+0	-3.189599141E-2	8.954E+0	-1.1E-2
Control: Stepper Routing{Enum U16 ((Clockwise,Anti-clockwise,Shortest,Towards Home))}=Towards Home	0E+0	7.39513485E-1	-1.3728E+1	7.132982082E-1	6.57E+0	2.616917344E-1	7.074E+0	0E+0	9E+0	8.943E+0	8.955E+0	8.872E+0	NaN	NaN	7.8E+0	8.941E+0	-3.189599141E-2	8.954E+0	-1.1E-2
Control: Stepper VISA{Visa Refnum (Void)}=COM8	0E+0	7.39513485E-1	-1.3728E+1	7.132982082E-1	6.57E+0	2.616917344E-1	7.074E+0	0E+0	9E+0	8.943E+0	8.955E+0	8.872E+0	NaN	NaN	7.8E+0	8.941E+0	-3.189599141E-2	8.954E+0	-1.1E-2
Control:Angle{Double Float}=-23.640000	0E+0	7.39513485E-1	-1.3728E+1	7.132982082E-1	6.57E+0	2.616917344E-1	7.074E+0	0E+0	9E+0	8.943E+0	8.955E+0	8.872E+0	NaN	NaN	7.8E+0	8.941E+0	-3.189599141E-2	8.954E+0	-1.1E-2
Control:Magnet Output{Double Float}=0.008130	0E+0	7.394300464E-1	-1.3734E+1	7.132982082E-1	6.57E+0	2.61649308E-1	7.08E+0	0E+0	9E+0	8.934E+0	8.946E+0	8.863E+0	NaN	NaN	7.8E+0	8.932E+0	-4.145018011E-2	8.944E+0	-1E-2
Display Panel{Cluster (I32,Enum U16 ((Click,Latch,Unlatch)))}={'Index':11,'Type':Click}	0E+0	7.394300464E-1	-1.3734E+1	7.132982082E-1	6.57E+0	2.61649308E-1	7.08E+0	0E+0	9E+0	8.934E+0	8.946E+0	8.863E+0	NaN	NaN	7.8E+0	8.932E+0	-4.145018011E-2	8.944E+0	-1E-2
File:Autodel{Boolean}=True	0E+0	7.394300464E-1	-1.3734E+1	7.132147696E-1	6.57E+0	2.61649308E-1	7.08E+0	0E+0	9E+0	8.934E+0	8.946E+0	8.863E+0	NaN	NaN	7.8E+0	8.932E+0	-4.145018011E-2	8.944E+0	-1E-2
File:Autosave{Boolean}=False	0E+0	7.39513485E-1	-1.3734E+1	7.132147696E-1	6.57E+0	2.616068816E-1	7.074E+0	0E+0	9E+0	8.934E+0	8.946E+0	8.863E+0	NaN	NaN	7.8E+0	8.932E+0	-4.145018011E-2	8.944E+0	-1E-2
File:Export Config{Boolean}=True	0E+0	7.39513485E-1	-1.3734E+1	7.132982082E-1	6.57E+0	2.616068816E-1	7.074E+0	0E+0	9E+0	8.934E+0	8.946E+0	8.863E+0	NaN	NaN	7.8E+0	8.932E+0	-4.145018011E-2	8.944E+0	-1E-2
File:Final Autosave{Boolean}=True	0E+0	7.39513485E-1	-1.3728E+1	7.132982082E-1	6.57E+0	2.616068816E-1	7.074E+0	0E+0	9E+0	8.934E+0	8.946E+0	8.863E+0	NaN	NaN	7.8E+0	8.932E+0	-4.145018011E-2	8.944E+0	-1E-2
Filter:Enable{Enum U16 ((None,Analog,Digital,Analog&Digitial))}=None	0E+0	7.395983378E-1	-1.3734E+1	7.132982082E-1	6.564E+0	2.615644552E-1	7.068E+0	0E+0	9E+0	8.934E+0	8.946E+0	8.863E+0	NaN	NaN	7.8E+0	8.932E+0	-4.145018011E-2	8.944E+0	-1E-2
Filter:Points{I32}=1	0E+0	7.395983378E-1	-1.3734E+1	7.132982082E-1	6.564E+0	2.615644552E-1	7.068E+0	0E+0	9E+0	8.934E+0	8.946E+0	8.863E+0	NaN	NaN	7.8E+0	8.932E+0	-4.145018011E-2	8.944E+0	-1E-2
Filter:Type{U16}=1	0E+0	7.395983378E-1	-1.3734E+1	7.132982082E-1	6.564E+0	2.615644552E-1	7.068E+0	0E+0	9E+0	8.934E+0	8.946E+0	8.863E+0	NaN	NaN	7.8E+0	8.932E+0	-4.145018011E-2	8.944E+0	-1E-2
Filter:Type.__text__{String}=Repeat	0E+0	7.39513485E-1	-1.3728E+1	7.132982082E-1	6.564E+0	2.616068816E-1	7.068E+0	0E+0	9E+0	8.934E+0	8.946E+0	8.863E+0	NaN	NaN	7.8E+0	8.932E+0	-4.145018011E-2	8.944E+0	-1E-2
Filter:Window{Double Float}=1.000000	0E+0	7.39513485E-1	-1.3728E+1	7.132147696E-1	6.564E+0	2.616068816E-1	7.068E+0	0E+0	9E+0	8.934E+0	8.946E+0	8.863E+0	NaN	NaN	7.8E+0	8.932E+0	-4.145018011E-2	8.944E+0	-1E-2
Iterator{I32}=0	0E+0	7.39513485E-1	-1.3728E+1	7.132982082E-1	6.564E+0	2.616068816E-1	7.068E+0	0E+0	9E+0	8.934E+0	8.946E+0	8.863E+0	NaN	NaN	7.8E+0	8.932E+0	-4.145018011E-2	8.944E+0	-1E-2
Magnet: Control Mode{Boolean}=False	0E+0	7.39513485E-1	-1.3728E+1	7.132982082E-1	6.564E+0	2.616068816E-1	7.068E+0	0E+0	9E+0	8.929E+0	8.941E+0	8.858E+0	NaN	NaN	7.8E+0	8.927E+0	-4.804028571E-2	8.939E+0	-1E-2
Magnet: Final Switch Heater{Enum U8 ((False,True,Mixed))}=	0E+0	7.39513485E-1	-1.3728E+1	7.132982082E-1	6.564E+0	2.61649308E-1	7.068E+0	0E+0	9E+0	8.929E+0	8.941E+0	8.858E+0	NaN	NaN	7.8E+0	8.927E+0	-4.804028571E-2	8.939E+0	-1E-2
Magnet: Power Supply{Enum U16 ((IPS120,LS625,PS110,Hg iPS,SMS Series,DMG Little CryoFree,DMG Big CryoFree))}=IPS120	0E+0	7.39513485E-1	-1.3728E+1	7.132982082E-1	6.564E+0	2.61649308E-1	7.068E+0	0E+0	9E+0	8.929E+0	8.941E+0	8.858E+0	NaN	NaN	7.8E+0	8.927E+0	-4.804028571E-2	8.939E+0	-1E-2
Magnet: Rate{Double Float}=0.500000	0E+0	7.39513485E-1	-1.3728E+1	7.132982082E-1	6.564E+0	2.61649308E-1	7.074E+0	0E+0	9E+0	8.929E+0	8.941E+0	8.858E+0	NaN	NaN	7.8E+0	8.927E+0	-4.804028571E-2	8.939E+0	-1E-2
Magnet: Setpoint{Double Float}=0.000000	0E+0	7.39513485E-1	-1.3734E+1	7.132982082E-1	6.57E+0	2.61649308E-1	7.08E+0	0E+0	9E+0	8.929E+0	8.941E+0	8.858E+0	NaN	NaN	7.8E+0	8.927E+0	-4.804028571E-2	8.939E+0	-1E-2
Magnet: Units{Enum U16 ((Field,Current))}=Field	0E+0	7.39513485E-1	-1.3734E+1	7.132982082E-1	6.57E+0	2.61649308E-1	7.08E+0	0E+0	9E+0	8.929E+0	8.941E+0	8.858E+0	NaN	NaN	7.8E+0	8.927E+0	-4.804028571E-2	8.939E+0	-1E-2
Magnet: VISA Ref{Visa Refnum (Void)}=GPIB0::20::INSTR	0E+0	7.39513485E-1	-1.3734E+1	7.132982082E-1	6.57E+0	2.61649308E-1	7.086E+0	0E+0	9E+0	8.929E+0	8.941E+0	8.858E+0	NaN	NaN	7.8E+0	8.927E+0	-4.804028571E-2	8.939E+0	-1E-2
Main Screen Path{Path}=C:\\Program Files (x86)\\National Instruments\\LabVIEW 2012\\Stonerlab\\Programs\\Source Meter IV\\1Code.vi	0E+0	7.39513485E-1	-1.3734E+1	7.132982082E-1	6.57E+0	2.61649308E-1	7.08E+0	0E+0	9E+0	8.929E+0	8.941E+0	8.858E+0	NaN	NaN	7.8E+0	8.927E+0	-4.804028571E-2	8.939E+0	-1E-2
Measurement Timestamp{Timestamp}=<04:25:27.079 08/02/2018>T	0E+0	7.39513485E-1	-1.3734E+1	7.132982082E-1	6.57E+0	2.61649308E-1	7.086E+0	0E+0	9E+0	8.929E+0	8.941E+0	8.858E+0	NaN	NaN	7.8E+0	8.927E+0	-4.804028571E-2	8.939E+0	-1E-2
Measurement Title{String}=	0E+0	7.395983378E-1	-1.3734E+1	7.132982082E-1	6.57E+0	2.616917344E-1	7.08E+0	0E+0	9E+0	8.929E+0	8.941E+0	8.858E+0	NaN	NaN	7.8E+0	8.927E+0	-4.804028571E-2	8.939E+0	-1E-2
Measurment Select{U16}=4	0E+0	7.395983378E-1	-1.3734E+1	7.132982082E-1	6.57E+0	2.61649308E-1	7.08E+0	0E+0	9E+0	8.929E+0	8.941E+0	8.858E+0	NaN	NaN	7.8E+0	8.927E+0	-4.804028571E-2	8.939E+0	-1E-2
Measurment Select.__text__{String}=6221-Lockin-DAQ	0E+0	7.39513485E-1	-1.3728E+1	7.132982082E-1	6.57E+0	2.61649308E-1	7.08E+0	0E+0	9E+0	8.929E+0	8.941E+0	8.858E+0	NaN	NaN	7.8E+0	8.927E+0	-4.804028571E-2	8.939E+0	-1E-2
Nb::R{Double Float}=0.713298	0E+0	7.395983378E-1	-1.3728E+1	7.132982082E-1	6.57E+0	2.61649308E-1	7.08E+0	0E+0	9E+0	8.924E+0	8.937E+0	8.854E+0	NaN	NaN	7.8E+0	8.922E+0	-5.379540473E-2	8.935E+0	-1.1E-2
Nb::Theta{Double Float}=6.564000	0E+0	7.39513485E-1	-1.3728E+1	7.132147696E-1	6.57E+0	2.61649308E-1	7.08E+0	0E+0	9E+0	8.924E+0	8.937E+0	8.854E+0	NaN	NaN	7.8E+0	8.922E+0	-5.379540473E-2	8.935E+0	-1.1E-2
Nb:Option: 560 Coupling{Enum U16 ((ground,DC,AC))}=ground	0E+0	7.39513485E-1	-1.3728E+1	7.132147696E-1	6.57E+0	2.616917344E-1	7.074E+0	0E+0	9E+0	8.924E+0	8.937E+0	8.854E+0	NaN	NaN	7.8E+0	8.922E+0	-5.379540473E-2	8.935E+0	-1.1E-2
Nb:Option: 560 Enabled{Boolean}=False	0E+0	7.39513485E-1	-1.3728E+1	7.132147696E-1	6.57E+0	2.61649308E-1	7.074E+0	0E+0	9E+0	8.924E+0	8.937E+0	8.854E+0	NaN	NaN	7.8E+0	8.922E+0	-5.379540473E-2	8.935E+0	-1.1E-2
Nb:Option: 560 Gain{Enum U16 ((1,2,5,10,20,50,100,200,500,1000,2000,5000,10000,20000,50000))}=1	0E+0	7.39513485E-1	-1.3728E+1	7.132147696E-1	6.57E+0	2.61649308E-1	7.074E+0	0E+0	9E+0	8.924E+0	8.937E+0	8.854E+0	NaN	NaN	7.8E+0	8.922E+0	-5.379540473E-2	8.935E+0	-1.1E-2
Nb:Option: 560 Input Source{Enum U16 ((A,A-B,B))}=A	0E+0	7.394300464E-1	-1.3728E+1	7.132147696E-1	6.564E+0	2.61649308E-1	7.074E+0	0E+0	9E+0	8.924E+0	8.937E+0	8.854E+0	NaN	NaN	7.8E+0	8.922E+0	-5.379540473E-2	8.935E+0	-1.1E-2
Nb:Option: Lockin Type{Enum U16 ((SRS 830,EG&G 5302))}=SRS 830	0E+0	7.394300464E-1	-1.3734E+1	7.132147696E-1	6.564E+0	2.616917344E-1	7.074E+0	0E+0	9E+0	8.924E+0	8.937E+0	8.854E+0	NaN	NaN	7.8E+0	8.922E+0	-5.379540473E-2	8.935E+0	-1.1E-2
Nb:Option: SR803 Full Scale Reading{Double Float}=0.000000	0E+0	7.394300464E-1	-1.3734E+1	7.132147696E-1	6.564E+0	2.61649308E-1	7.074E+0	0E+0	9E+0	8.924E+0	8.937E+0	8.854E+0	NaN	NaN	7.8E+0	8.922E+0	-5.379540473E-2	8.935E+0	-1.1E-2
Nb:Option: SR830  Ref Phase{Double Float}=0.000000	0E+0	7.39513485E-1	-1.3734E+1	7.132147696E-1	6.564E+0	2.616917344E-1	7.074E+0	0E+0	9E+0	8.924E+0	8.937E+0	8.854E+0	NaN	NaN	7.8E+0	8.922E+0	-5.379540473E-2	8.935E+0	-1.1E-2
Nb:Option: SR830  Synch Filter{Boolean}=False	0E+0	7.39513485E-1	-1.3734E+1	7.132147696E-1	6.564E+0	2.61649308E-1	7.074E+0	0E+0	9E+0	8.924E+0	8.937E+0	8.854E+0	NaN	NaN	7.8E+0	8.922E+0	-5.379540473E-2	8.935E+0	-1.1E-2
Nb:Option: SR830  Time Constant{I16}=9	0E+0	7.39513485E-1	-1.3734E+1	7.132147696E-1	6.564E+0	2.616917344E-1	7.074E+0	0E+0	9E+0	8.924E+0	8.937E+0	8.854E+0	NaN	NaN	7.8E+0	8.922E+0	-5.379540473E-2	8.935E+0	-1.1E-2
Nb:Option: SR830 2x Line Filter{Boolean}=True	0E+0	7.39513485E-1	-1.3728E+1	7.132982082E-1	6.564E+0	2.61649308E-1	7.074E+0	0E+0	9E+0	8.924E+0	8.937E+0	8.854E+0	NaN	NaN	7.8E+0	8.922E+0	-5.379540473E-2	8.935E+0	-1.1E-2
Nb:Option: SR830 Adjust Gains{Boolean}=False	0E+0	7.39513485E-1	-1.3728E+1	7.132982082E-1	6.564E+0	2.61649308E-1	7.074E+0	0E+0	9E+0	8.924E+0	8.937E+0	8.854E+0	NaN	NaN	7.8E+0	8.922E+0	-5.379540473E-2	8.935E+0	-1.1E-2
Nb:Option: SR830 Auto Offset 1{Boolean}=False	0E+0	7.395983378E-1	-1.3728E+1	7.132982082E-1	6.564E+0	2.616917344E-1	7.074E+0	0E+0	9E+0	8.918E+0	8.932E+0	8.85E+0	NaN	NaN	7.8E+0	8.916E+0	-5.945748091E-2	8.93E+0	-1.2E-2
Nb:Option: SR830 Auto Offset 2{Boolean}=False	0E+0	7.395983378E-1	-1.3728E+1	7.132982082E-1	6.564E+0	2.61649308E-1	7.074E+0	0E+0	9E+0	8.918E+0	8.932E+0	8.85E+0	NaN	NaN	7.8E+0	8.916E+0	-5.945748091E-2	8.93E+0	-1.2E-2
Nb:Option: SR830 Autophase{Boolean}=True	0E+0	7.39513485E-1	-1.3722E+1	7.132982082E-1	6.564E+0	2.61649308E-1	7.074E+0	0E+0	9E+0	8.918E+0	8.932E+0	8.85E+0	NaN	NaN	7.8E+0	8.916E+0	-5.945748091E-2	8.93E+0	-1.2E-2
Nb:Option: SR830 DC Coupling?{Boolean}=False	0E+0	7.395983378E-1	-1.3722E+1	7.132982082E-1	6.564E+0	2.616917344E-1	7.074E+0	0E+0	9E+0	8.918E+0	8.932E+0	8.85E+0	NaN	NaN	7.8E+0	8.916E+0	-5.945748091E-2	8.93E+0	-1.2E-2
Nb:Option: SR830 Display 1{U16}=0	0E+0	7.395983378E-1	-1.3722E+1	7.132982082E-1	6.57E+0	2.616917344E-1	7.074E+0	0E+0	9E+0	8.918E+0	8.932E+0	8.85E+0	NaN	NaN	7.8E+0	8.916E+0	-5.945748091E-2	8.93E+0	-1.2E-2
Nb:Option: SR830 Display 2{U16}=0	0E+0	7.395983378E-1	-1.3722E+1	7.132982082E-1	6.564E+0	2.616917344E-1	7.074E+0	0E+0	9E+0	8.918E+0	8.932E+0	8.85E+0	NaN	NaN	7.8E+0	8.916E+0	-5.945748091E-2	8.93E+0	-1.2E-2
Nb:Option: SR830 Dynamic Reserve{I16}=1	0E+0	7.395983378E-1	-1.3722E+1	7.132982082E-1	6.564E+0	2.616917344E-1	7.068E+0	0E+0	9E+0	8.918E+0	8.932E+0	8.85E+0	NaN	NaN	7.8E+0	8.916E+0	-5.945748091E-2	8.93E+0	-1.2E-2
Nb:Option: SR830 Expand 1{Enum U16 ((None,10x,100x))}=None	0E+0	7.396817764E-1	-1.3722E+1	7.132982082E-1	6.564E+0	2.61649308E-1	7.068E+0	0E+0	9E+0	8.918E+0	8.932E+0	8.85E+0	NaN	NaN	7.8E+0	8.916E+0	-5.945748091E-2	8.93E+0	-1.2E-2
Nb:Option: SR830 Expand 2{Enum U16 ((None,10x,100x))}=None	0E+0	7.396817764E-1	-1.3722E+1	7.132982082E-1	6.564E+0	2.61649308E-1	7.068E+0	0E+0	9E+0	8.918E+0	8.932E+0	8.85E+0	NaN	NaN	7.8E+0	8.916E+0	-5.945748091E-2	8.93E+0	-1.2E-2
Nb:Option: SR830 Filter Slope{I32}=2	0E+0	7.395983378E-1	-1.3728E+1	7.132982082E-1	6.564E+0	2.61649308E-1	7.068E+0	0E+0	9E+0	8.918E+0	8.932E+0	8.85E+0	NaN	NaN	7.8E+0	8.916E+0	-5.945748091E-2	8.93E+0	-1.2E-2
Nb:Option: SR830 Gain{I32}=17	0E+0	7.395983378E-1	-1.3728E+1	7.132982082E-1	6.564E+0	2.616068816E-1	7.068E+0	0E+0	9E+0	8.918E+0	8.932E+0	8.85E+0	NaN	NaN	7.8E+0	8.916E+0	-5.945748091E-2	8.93E+0	-1.2E-2
Nb:Option: SR830 Ground Shield?{Boolean}=True	0E+0	7.39513485E-1	-1.3728E+1	7.132982082E-1	6.564E+0	2.616068816E-1	7.068E+0	0E+0	9E+0	8.918E+0	8.932E+0	8.85E+0	NaN	NaN	7.8E+0	8.916E+0	-5.945748091E-2	8.93E+0	-1.2E-2
Nb:Option: SR830 Harmonic{I32}=1	0E+0	7.395983378E-1	-1.3734E+1	7.132982082E-1	6.564E+0	2.616068816E-1	7.068E+0	0E+0	9E+0	8.913E+0	8.927E+0	8.845E+0	NaN	NaN	7.7E+0	8.911E+0	-6.70203492E-2	8.926E+0	-1.3E-2
Nb:Option: SR830 Input{Enum U16 ((A,A-B,I 1MOhm,I 10MOhm))}=A-B	0E+0	7.39513485E-1	-1.3734E+1	7.132982082E-1	6.564E+0	2.616068816E-1	7.068E+0	0E+0	9E+0	8.913E+0	8.927E+0	8.845E+0	NaN	NaN	7.7E+0	8.911E+0	-6.70203492E-2	8.926E+0	-1.3E-2
Nb:Option: SR830 Line Filter{Boolean}=True	0E+0	7.39513485E-1	-1.3728E+1	7.132982082E-1	6.564E+0	2.61649308E-1	7.068E+0	0E+0	9E+0	8.913E+0	8.927E+0	8.845E+0	NaN	NaN	7.7E+0	8.911E+0	-6.70203492E-2	8.926E+0	-1.3E-2
Nb:Option: SR830 No Reset{Boolean}=False	0E+0	7.39513485E-1	-1.3734E+1	7.132982082E-1	6.564E+0	2.61649308E-1	7.068E+0	0E+0	9E+0	8.913E+0	8.927E+0	8.845E+0	NaN	NaN	7.7E+0	8.911E+0	-6.70203492E-2	8.926E+0	-1.3E-2
Nb:Option: SR830 Offset 1{Double Float}=0.000000	0E+0	7.39513485E-1	-1.3734E+1	7.132982082E-1	6.564E+0	2.61649308E-1	7.074E+0	0E+0	9E+0	8.913E+0	8.927E+0	8.845E+0	NaN	NaN	7.7E+0	8.911E+0	-6.70203492E-2	8.926E+0	-1.3E-2
Nb:Option: SR830 Offset 2{Double Float}=0.000000	0E+0	7.39513485E-1	-1.3734E+1	7.132147696E-1	6.564E+0	2.61649308E-1	7.074E+0	0E+0	9E+0	8.913E+0	8.927E+0	8.845E+0	NaN	NaN	7.7E+0	8.911E+0	-6.70203492E-2	8.926E+0	-1.3E-2
Nb:Option: SR830 Output Channel 1{Boolean}=False	0E+0	7.39513485E-1	-1.3734E+1	7.132147696E-1	6.564E+0	2.61649308E-1	7.074E+0	0E+0	9E+0	8.913E+0	8.927E+0	8.845E+0	NaN	NaN	7.7E+0	8.911E+0	-6.70203492E-2	8.926E+0	-1.3E-2
Nb:Option: SR830 Output Channel 2{Boolean}=False	0E+0	7.39513485E-1	-1.374E+1	7.132147696E-1	6.558E+0	2.61649308E-1	7.074E+0	0E+0	9E+0	8.913E+0	8.927E+0	8.845E+0	NaN	NaN	7.7E+0	8.911E+0	-6.70203492E-2	8.926E+0	-1.3E-2
Nb:Option: SR830 Ratio 1{U16}=0	0E+0	7.39513485E-1	-1.374E+1	7.132147696E-1	6.558E+0	2.616068816E-1	7.074E+0	0E+0	9E+0	8.913E+0	8.927E+0	8.845E+0	NaN	NaN	7.7E+0	8.911E+0	-6.70203492E-2	8.926E+0	-1.3E-2
Nb:Option: SR830 Ratio 2{U16}=0	0E+0	7.39513485E-1	-1.374E+1	7.132147696E-1	6.558E+0	2.616068816E-1	7.074E+0	0E+0	9E+0	8.913E+0	8.927E+0	8.845E+0	NaN	NaN	7.7E+0	8.911E+0	-6.70203492E-2	8.926E+0	-1.3E-2
Nb:Option: SR830 Ref Amplitude{Double Float}=0.100000	0E+0	7.395983378E-1	-1.374E+1	7.132147696E-1	6.558E+0	2.616068816E-1	7.074E+0	0E+0	9E+0	8.913E+0	8.927E+0	8.845E+0	NaN	NaN	7.7E+0	8.911E+0	-6.70203492E-2	8.926E+0	-1.3E-2
Nb:Option: SR830 Ref Frequency{Double Float}=1013.000000	0E+0	7.395983378E-1	-1.374E+1	7.132147696E-1	6.558E+0	2.616068816E-1	7.068E+0	0E+0	9E+0	8.913E+0	8.927E+0	8.845E+0	NaN	NaN	7.7E+0	8.911E+0	-6.70203492E-2	8.926E+0	-1.3E-2
Nb:Option: SR830 Ref Source{Boolean}=False	0E+0	7.395983378E-1	-1.3734E+1	7.132147696E-1	6.564E+0	2.616068816E-1	7.068E+0	0E+0	9E+0	8.913E+0	8.927E+0	8.845E+0	NaN	NaN	7.7E+0	8.911E+0	-6.70203492E-2	8.926E+0	-1.3E-2
Nb:Option: SR830 Requested Parameters{1D Array (Enum U16 ((X,Y,R,Theta,Aux 1,Aux 2,Aux 3,Aux 4,Ref Freq,Channel 1,Channel 2)))}=[R,Theta]	0E+0	7.395983378E-1	-1.3734E+1	7.132147696E-1	6.564E+0	2.615644552E-1	7.062E+0	0E+0	9E+0	8.908E+0	8.923E+0	8.841E+0	NaN	NaN	7.7E+0	8.905E+0	-7.349333167E-2	8.923E+0	-1.5E-2
Nb:Option: SR830 Time Constant value{Double Float}=0.000000	0E+0	7.395983378E-1	-1.3734E+1	7.132147696E-1	6.564E+0	2.615644552E-1	7.068E+0	0E+0	9E+0	8.908E+0	8.923E+0	8.841E+0	NaN	NaN	7.7E+0	8.905E+0	-7.349333167E-2	8.923E+0	-1.5E-2
Nb:Option: SR830 Trigger Edge{Enum U16 ((Zero Crossing,Rising Edge,Falling Edge))}=Falling Edge	0E+0	7.395983378E-1	-1.3734E+1	7.132147696E-1	6.564E+0	2.615644552E-1	7.068E+0	0E+0	9E+0	8.908E+0	8.923E+0	8.841E+0	NaN	NaN	7.7E+0	8.905E+0	-7.349333167E-2	8.923E+0	-1.5E-2
Nb:Option: SR830 VISA{Visa Refnum (Void)}=GPIB0::2::INSTR	0E+0	7.39513485E-1	-1.3728E+1	7.132147696E-1	6.564E+0	2.615644552E-1	7.074E+0	0E+0	9E+0	8.908E+0	8.923E+0	8.841E+0	NaN	NaN	7.7E+0	8.905E+0	-7.349333167E-2	8.923E+0	-1.5E-2
Nb:Option:560 Comport{Visa Refnum (Void)}=COM1	0E+0	7.39513485E-1	-1.3728E+1	7.132147696E-1	6.564E+0	2.616068816E-1	7.074E+0	0E+0	9E+0	8.908E+0	8.923E+0	8.841E+0	NaN	NaN	7.7E+0	8.905E+0	-7.349333167E-2	8.923E+0	-1.5E-2
Nb:Option:560 Filter High Pass{U16}=0	0E+0	7.39513485E-1	-1.3728E+1	7.132982082E-1	6.564E+0	2.616068816E-1	7.08E+0	0E+0	9E+0	8.908E+0	8.923E+0	8.841E+0	NaN	NaN	7.7E+0	8.905E+0	-7.349333167E-2	8.923E+0	-1.5E-2
Nb:Option:560 Filter Lowpass{U16}=0	0E+0	7.394300464E-1	-1.3734E+1	7.132982082E-1	6.564E+0	2.616068816E-1	7.08E+0	0E+0	9E+0	8.908E+0	8.923E+0	8.841E+0	NaN	NaN	7.7E+0	8.905E+0	-7.349333167E-2	8.923E+0	-1.5E-2
Nb:Option:560 Filter Mode{U16}=0	0E+0	7.39513485E-1	-1.3728E+1	7.132982082E-1	6.564E+0	2.616068816E-1	7.08E+0	0E+0	9E+0	8.908E+0	8.923E+0	8.841E+0	NaN	NaN	7.7E+0	8.905E+0	-7.349333167E-2	8.923E+0	-1.5E-2
Nb:Option:560 Invert{Boolean}=False	0E+0	7.394300464E-1	-1.3728E+1	7.132982082E-1	6.57E+0	2.61649308E-1	7.08E+0	0E+0	9E+0	8.908E+0	8.923E+0	8.841E+0	NaN	NaN	7.7E+0	8.905E+0	-7.349333167E-2	8.923E+0	-1.5E-2
