TDI Format 1.5	Smearing	Energy Gap	Spin Polarisation	Barrier Parameter	Chi^2
Stoner.class{String}=DataFile	1.06568159768	1.04974351193	0.0	1.12526918017	0.0033262000707
	1.27724885125	1.40103262649	0.1	0.889387507095	0.0116534192629
	1.02722253884	1.23492854656	0.2	0.722110305065	0.00338336961722
	0.998311672154	1.38398286974	0.3	0.552495660979	0.00341931419762
	0.918370049453	1.549999991	0.4	0.371341525354	0.00366570119145
	0.613976031173	1.59999998467	0.5	0.0	0.0115897288211
	8.26210662681	1.549999981	0.6	0.0	0.136915315148
	9.12078326227	1.50000695171	0.7	0.0	0.278327429843
	8.31874958706	1.50000000001	0.8	6.62414243958	0.0557567582903
	10.0524899645	1.50000864541	0.9	3.21114936966e-07	0.707491654253
