 1482         	               26.99041     	               5            	               8192         	               1482         	               1            	               117 
Header:       	              iwavelength   	              Frequency     	              NumberOfCycles              	              Record Length 	              PointsPerCycle              	              BWReduction   	              Averages
Time(s)       	              X Field(A/m)  	              Y Field (A/m) 	              Kerr (V)      	              Ref (V)       	              Processed
-0.1023875    	               866.8239     	              -0.4515023    	              -2.742419     	              -3.146667E-04               	              -2.64717 
-0.1023625    	               868.9235     	              -0.4498317    	              -2.742426     	              -3.146667E-04               	              -2.647177 
-0.1023375    	               871.0085     	              -0.4481612    	              -2.742317     	              -3.146667E-04               	              -2.647068 
-0.1023125    	               873.0793     	              -0.4464425    	              -2.742297     	              -3.095209E-04               	              -2.693652 
-0.1022875    	               875.1357     	              -0.4447719    	              -2.742276     	              -3.146667E-04               	              -2.647027 
-0.1022625    	               877.1784     	              -0.4430532    	              -2.74227      	              -3.249583E-04               	              -2.553813 
-0.1022375    	               879.2071     	              -0.4412623    	              -2.742323     	              -3.120938E-04               	              -2.670376 
-0.1022125    	               881.2217     	              -0.4394714    	              -2.742317     	              -3.120938E-04               	              -2.67037 
-0.1021875    	               883.2222     	              -0.4377045    	              -2.742328     	              -3.146667E-04               	              -2.647079 
-0.1021625    	               885.2089     	              -0.4358654    	              -2.742324     	              -3.120938E-04               	              -2.670377 
-0.1021375    	               887.1815     	              -0.4339781    	              -2.742327     	              -3.095208E-04               	              -2.693682 
-0.1021125    	               889.1398     	              -0.4320668    	              -2.742253     	              -3.120938E-04               	              -2.670306 
-0.1020875    	               891.0837     	              -0.4301314    	              -2.742251     	              -3.120938E-04               	              -2.670304 
-0.1020625    	               893.0129     	              -0.4281719    	              -2.742208     	              -3.172396E-04               	              -2.623657 
-0.1020375    	               894.928      	              -0.4262365    	              -2.742239     	              -3.120938E-04               	              -2.670292 
-0.1020125    	               896.8286     	              -0.4242288    	              -2.742224     	              -3.223853E-04               	              -2.57707 
-0.1019875    	               898.7142     	              -0.4221971    	              -2.742206     	              -3.172396E-04               	              -2.623655 
-0.1019625    	               900.5848     	              -0.4201172    	              -2.742149     	              -3.146667E-04               	              -2.6469 
-0.1019375    	               902.4404     	              -0.4180855    	              -2.742155     	              -3.120938E-04               	              -2.670208 
-0.1019125    	               904.2809     	              -0.4160297    	              -2.742153     	              -3.120938E-04               	              -2.670206 
-0.1018875    	               906.1064     	              -0.4139739    	              -2.742148     	              -3.018022E-04               	              -2.763408 
-0.1018625    	               907.9167     	              -0.4119422    	              -2.742146     	              -2.940835E-04               	              -2.833311 
-0.1018375    	               909.7121     	              -0.4098382    	              -2.742183     	              -2.966564E-04               	              -2.810047 
-0.1018125    	               911.4927     	              -0.4077101    	              -2.742115     	              -3.04375E-04  	              -2.740074 
-0.1017875    	               913.2584     	              -0.4055821    	              -2.742126     	              -3.120938E-04               	              -2.670179 
-0.1017625    	               915.0097     	              -0.4034541    	              -2.742169     	              -3.095209E-04               	              -2.693524 
-0.1017375    	               916.7465     	              -0.401302     	              -2.74212      	              -3.06948E-04  	              -2.716777 
-0.1017125    	               918.4689     	              -0.3991017    	              -2.74206      	              -2.992293E-04               	              -2.786623 
-0.1016875    	               920.1768     	              -0.3968773    	              -2.742091     	              -3.120938E-04               	              -2.670144 
-0.1016625    	               921.8698     	              -0.3946529    	              -2.742019     	              -3.198124E-04               	              -2.600167 
-0.1016375    	               923.5476     	              -0.3924767    	              -2.742005     	              -3.146667E-04               	              -2.646756 
-0.1016125    	               925.2106     	              -0.3902042    	              -2.742004     	              -3.146667E-04               	              -2.646755 
-0.1015875    	               926.859      	              -0.3879317    	              -2.741979     	              -3.172396E-04               	              -2.623428 
-0.1015625    	               928.4924     	              -0.3856833    	              -2.742026     	              -3.275312E-04               	              -2.530268 
-0.1015375    	               930.1108     	              -0.3834108    	              -2.742031     	              -3.198125E-04               	              -2.600178 
-0.1015125    	               931.7142     	              -0.3811382    	              -2.741973     	              -3.146667E-04               	              -2.646724 
-0.1014875    	               933.303      	              -0.3788898    	              -2.741987     	              -3.172396E-04               	              -2.623436 
-0.1014625    	               934.8772     	              -0.3766173    	              -2.741982     	              -3.095209E-04               	              -2.693337 
-0.1014375    	               936.437      	              -0.3743688    	              -2.741989     	              -3.223854E-04               	              -2.576835 
-0.1014125    	               937.9821     	              -0.3721204    	              -2.741977     	              -3.249583E-04               	              -2.553521 
-0.1013875    	               939.5126     	              -0.369872     	              -2.74188      	              -3.198124E-04               	              -2.600028 
-0.1013625    	               941.0289     	              -0.3676235    	              -2.74194      	              -3.172396E-04               	              -2.623389 
-0.1013375    	               942.5309     	              -0.3653751    	              -2.741978     	              -3.146667E-04               	              -2.646729 
-0.1013125    	               944.0184     	              -0.3630785    	              -2.741973     	              -3.069479E-04               	              -2.71663 
-0.1012875    	               945.4916     	              -0.3607819    	              -2.741982     	              -3.120938E-04               	              -2.670035 
-0.1012625    	               946.9503     	              -0.3584853    	              -2.741901     	              -3.120938E-04               	              -2.669954 
-0.1012375    	               948.3942     	              -0.3561406    	              -2.741819     	              -3.04375E-04  	              -2.739777 
-0.1012125    	               949.8239     	              -0.3537958    	              -2.74188      	              -2.992293E-04               	              -2.786442 
-0.1011875    	               951.2389     	              -0.351451     	              -2.741941     	              -3.04375E-04  	              -2.7399 
-0.1011625    	               952.6392     	              -0.3490341    	              -2.741939     	              -3.04375E-04  	              -2.739898 
-0.1011375    	               954.0251     	              -0.3466652    	              -2.741846     	              -3.04375E-04  	              -2.739805 
-0.1011125    	               955.3966     	              -0.3442964    	              -2.741783     	              -2.992293E-04               	              -2.786345 
-0.1010875    	               956.7535     	              -0.3419516    	              -2.74187      	              -2.966564E-04               	              -2.809734 
-0.1010625    	               958.0962     	              -0.3395587    	              -2.741876     	              -3.120938E-04               	              -2.669929 
-0.1010375    	               959.4246     	              -0.3371899    	              -2.741818     	              -3.018022E-04               	              -2.763078 
-0.1010125    	               960.738      	              -0.334797     	              -2.741806     	              -3.043751E-04               	              -2.739764 
-0.1009875    	               962.0371     	              -0.33238      	              -2.741828     	              -3.095209E-04               	              -2.693183 
-0.1009625    	               963.3217     	              -0.3300111    	              -2.741813     	              -3.146667E-04               	              -2.646564 
-0.1009375    	               964.5916     	              -0.327546     	              -2.741785     	              -3.146667E-04               	              -2.646536 
-0.1009125    	               965.8469     	              -0.3250808    	              -2.741785     	              -3.146667E-04               	              -2.646536 
-0.1008875    	               967.0876     	              -0.3225916    	              -2.741797     	              -3.223853E-04               	              -2.576643 
-0.1008625    	               968.3132     	              -0.3200783    	              -2.741756     	              -3.095209E-04               	              -2.69311 
-0.1008375    	               969.5245     	              -0.317565     	              -2.741755     	              -3.095208E-04               	              -2.69311 
-0.1008125    	               970.7216     	              -0.3150517    	              -2.741733     	              -3.069479E-04               	              -2.716389 
-0.1007875    	               971.9041     	              -0.3124902    	              -2.741697     	              -3.146667E-04               	              -2.646448 
-0.1007625    	               973.0726     	              -0.3098806    	              -2.741763     	              -3.04375E-04  	              -2.739722 
-0.1007375    	               974.2272     	              -0.3073432    	              -2.741715     	              -3.120938E-04               	              -2.669768 
-0.1007125    	               975.3676     	              -0.3047577    	              -2.741716     	              -3.06948E-04  	              -2.716373 
-0.1006875    	               976.4941     	              -0.3022203    	              -2.741697     	              -3.198124E-04               	              -2.599845 
-0.1006625    	               977.6069     	              -0.2996588    	              -2.74164      	              -3.120938E-04               	              -2.669693 
-0.1006375    	               978.7057     	              -0.2971455    	              -2.741627     	              -3.095209E-04               	              -2.692982 
-0.1006125    	               979.7911     	              -0.2946322    	              -2.741667     	              -3.095209E-04               	              -2.693022 
-0.1005875    	               980.863      	              -0.2921189    	              -2.741678     	              -3.223854E-04               	              -2.576524 
-0.1005625    	               981.9209     	              -0.2896297    	              -2.741652     	              -2.992293E-04               	              -2.786214 
-0.1005375    	               982.9648     	              -0.2870682    	              -2.741611     	              -3.172396E-04               	              -2.62306 
-0.1005125    	               983.9952     	              -0.2845549    	              -2.741606     	              -3.095208E-04               	              -2.692961 
-0.1004875    	               985.0114     	              -0.2820175    	              -2.741591     	              -3.069479E-04               	              -2.716248 
-0.1004625    	               986.0131     	              -0.2794561    	              -2.741591     	              -3.018022E-04               	              -2.762851 
-0.1004375    	               987.0007     	              -0.2769187    	              -2.741637     	              -3.06948E-04  	              -2.716294 
-0.1004125    	               987.973      	              -0.2743331    	              -2.741659     	              -3.095209E-04               	              -2.693014 
-0.1003875    	               988.9304     	              -0.2717717    	              -2.741683     	              -3.095209E-04               	              -2.693038 
-0.1003625    	               989.8734     	              -0.2691621    	              -2.741587     	              -3.172396E-04               	              -2.623036 
-0.1003375    	               990.8011     	              -0.2666247    	              -2.741564     	              -3.146667E-04               	              -2.646315 
-0.1003125    	               991.7137     	              -0.2640391    	              -2.741556     	              -3.018022E-04               	              -2.762816 
-0.1002875    	               992.6119     	              -0.2614536    	              -2.741601     	              -3.120938E-04               	              -2.669654 
-0.1002625    	               993.4948     	              -0.258868     	              -2.741654     	              -3.198124E-04               	              -2.599802 
-0.1002375    	               994.3629     	              -0.2563307    	              -2.741684     	              -3.223853E-04               	              -2.57653 
-0.1002125    	               995.2169     	              -0.2537692    	              -2.741627     	              -3.095209E-04               	              -2.692982 
-0.1001875    	               996.0558     	              -0.25128      	              -2.741614     	              -3.04375E-04  	              -2.739573 
-0.1001625    	               996.8796     	              -0.2487185    	              -2.741544     	              -3.06948E-04  	              -2.7162 
-0.1001375    	               997.6898     	              -0.2461811    	              -2.74158      	              -3.172396E-04               	              -2.623029 
-0.1001125    	               998.4854     	              -0.2436197    	              -2.741547     	              -3.249583E-04               	              -2.553091 
-0.1000875    	               999.266      	              -0.2410341    	              -2.741573     	              -3.146667E-04               	              -2.646324 
-0.1000625    	               1000.033     	              -0.2384245    	              -2.741598     	              -3.069479E-04               	              -2.716255 
-0.1000375    	               1000.785     	              -0.2358149    	              -2.74158      	              -3.120938E-04               	              -2.669632 
-0.1000125    	               1001.523     	              -0.2332052    	              -2.741566     	              -3.172396E-04               	              -2.623016 
-0.0999875    	               1002.246     	              -0.2305956    	              -2.741584     	              -3.223854E-04               	              -2.57643 
-0.0999625    	               1002.955     	              -0.227986     	              -2.741588     	              -3.146667E-04               	              -2.646339 
-0.0999375    	               1003.647     	              -0.2253523    	              -2.741523     	              -3.146667E-04               	              -2.646274 
-0.0999125    	               1004.325     	              -0.2226945    	              -2.741588     	              -3.198125E-04               	              -2.599735 
-0.0998875    	               1004.988     	              -0.2201089    	              -2.741549     	              -3.301041E-04               	              -2.506489 
-0.0998625    	               1005.636     	              -0.2174512    	              -2.741568     	              -3.32677E-04  	              -2.483207 
-0.0998375    	               1006.27      	              -0.2148174    	              -2.741544     	              -3.146667E-04               	              -2.646295 
-0.0998125    	               1006.888     	              -0.2122078    	              -2.741591     	              -3.198125E-04               	              -2.599739 
-0.0997875    	               1007.492     	              -0.2095982    	              -2.741537     	              -3.095209E-04               	              -2.692892 
-0.0997625    	               1008.082     	              -0.2069645    	              -2.741543     	              -3.04375E-04  	              -2.739502 
-0.0997375    	               1008.658     	              -0.2043549    	              -2.741542     	              -3.146667E-04               	              -2.646293 
-0.0997125    	               1009.218     	              -0.2017452    	              -2.741543     	              -3.04375E-04  	              -2.739502 
-0.0996875    	               1009.765     	              -0.1991116    	              -2.741579     	              -3.146667E-04               	              -2.64633 
-0.0996625    	               1010.297     	              -0.196526     	              -2.741582     	              -3.172396E-04               	              -2.623031 
-0.0996375    	               1010.814     	              -0.1939404    	              -2.741523     	              -3.095209E-04               	              -2.692878 
-0.0996125    	               1011.318     	              -0.1913308    	              -2.741512     	              -3.095208E-04               	              -2.692867 
-0.0995875    	               1011.808     	              -0.1887693    	              -2.74153      	              -3.120937E-04               	              -2.669583 
-0.0995625    	               1012.284     	              -0.1860875    	              -2.741538     	              -3.172396E-04               	              -2.622987 
-0.0995375    	               1012.745     	              -0.1834297    	              -2.741537     	              -3.120938E-04               	              -2.66959 
-0.0995125    	               1013.194     	              -0.1808201    	              -2.741527     	              -3.146667E-04               	              -2.646278 
-0.0994875    	               1013.627     	              -0.1781864    	              -2.741528     	              -3.172396E-04               	              -2.622977 
-0.0994625    	               1014.045     	              -0.1755046    	              -2.741539     	              -3.04375E-04  	              -2.739497 
-0.0994375    	               1014.449     	              -0.1728468    	              -2.741538     	              -3.095209E-04               	              -2.692893 
-0.0994125    	               1014.838     	              -0.1702372    	              -2.741517     	              -3.120938E-04               	              -2.66957 
-0.0993875    	               1015.211     	              -0.1675553    	              -2.741568     	              -3.198125E-04               	              -2.599715 
-0.0993625    	               1015.57      	              -0.1649457    	              -2.741548     	              -3.069479E-04               	              -2.716205 
-0.0993375    	               1015.914     	              -0.1623602    	              -2.741543     	              -3.120938E-04               	              -2.669596 
-0.0993125    	               1016.243     	              -0.1597024    	              -2.741449     	              -3.146667E-04               	              -2.6462 
-0.0992875    	               1016.559     	              -0.1570205    	              -2.741469     	              -3.146667E-04               	              -2.64622 
-0.0992625    	               1016.859     	              -0.1543387    	              -2.741544     	              -3.223854E-04               	              -2.57639 
-0.0992375    	               1017.146     	              -0.1516328    	              -2.741503     	              -3.095209E-04               	              -2.692858 
-0.0992125    	               1017.418     	              -0.148975     	              -2.74154      	              -3.120938E-04               	              -2.669593 
-0.0991875    	               1017.676     	              -0.1463172    	              -2.741525     	              -3.06948E-04  	              -2.716182 
-0.0991625    	               1017.918     	              -0.1436113    	              -2.741502     	              -3.223854E-04               	              -2.576347 
-0.0991375    	               1018.147     	              -0.1408572    	              -2.741484     	              -3.172396E-04               	              -2.622934 
-0.0991125    	               1018.362     	              -0.1381753    	              -2.741593     	              -3.146667E-04               	              -2.646344 
-0.0990875    	               1018.561     	              -0.1354453    	              -2.741524     	              -3.120938E-04               	              -2.669577 
-9.906249E-02               	               1018.747     	              -0.1326672    	              -2.741482     	              -3.198124E-04               	              -2.599629 
-0.0990375    	               1018.918     	              -0.1299612    	              -2.741518     	              -3.120938E-04               	              -2.669571 
-0.0990125    	               1019.074     	              -0.1272312    	              -2.741449     	              -3.198125E-04               	              -2.599597 
-0.0989875    	               1019.217     	              -0.124453     	              -2.74151      	              -3.06948E-04  	              -2.716166 
-0.0989625    	               1019.345     	              -0.1216989    	              -2.741514     	              -3.120938E-04               	              -2.669567 
-0.0989375    	               1019.458     	              -0.1189449    	              -2.741462     	              -3.069479E-04               	              -2.716119 
-0.0989125    	               1019.557     	              -0.1161667    	              -2.741469     	              -3.172396E-04               	              -2.622918 
-0.0988875    	               1019.643     	              -0.1134126    	              -2.741498     	              -3.095208E-04               	              -2.692852 
-0.0988625    	               1019.713     	              -0.1106826    	              -2.741549     	              -3.095209E-04               	              -2.692904 
-9.883749E-02               	               1019.77      	              -0.1079285    	              -2.74154      	              -3.223853E-04               	              -2.576386 
-0.0988125    	               1019.813     	              -0.1052226    	              -2.741491     	              -3.146667E-04               	              -2.646242 
-0.0987875    	               1019.84      	              -0.1025166    	              -2.741437     	              -3.120938E-04               	              -2.66949 
-0.0987625    	               1019.854     	              -9.978661E-02               	              -2.741472     	              -3.223854E-04               	              -2.576317 
-0.0987375    	               1019.855     	              -9.703252E-02               	              -2.741491     	              -3.172396E-04               	              -2.62294 
-0.0987125    	               1019.841     	              -9.427842E-02               	              -2.741569     	              -3.146666E-04               	              -2.64632 
-0.0986875    	               1019.815     	              -9.152433E-02               	              -2.741521     	              -3.06948E-04  	              -2.716177 
-0.0986625    	               1019.775     	              -8.874616E-02               	              -2.74147      	              -3.06948E-04  	              -2.716126 
-0.0986375    	               1019.72      	              -8.591983E-02               	              -2.741538     	              -3.018022E-04               	              -2.762799 
-0.0986125    	               1019.653     	              -8.311757E-02               	              -2.741539     	              -3.06948E-04  	              -2.716196 
-0.0985875    	               1019.572     	              -8.029124E-02               	              -2.741514     	              -3.146667E-04               	              -2.646265 
-0.0985625    	               1019.478     	              -7.746491E-02               	              -2.741526     	              -3.172396E-04               	              -2.622975 
-0.0985375    	               1019.37      	              -0.0746145    	              -2.741505     	              -3.172396E-04               	              -2.622954 
-0.0985125    	               1019.249     	              -7.171592E-02               	              -2.741506     	              -3.120938E-04               	              -2.669559 
-0.0984875    	               1019.114     	              -6.884143E-02               	              -2.741515     	              -3.04375E-04  	              -2.739473 
-0.0984625    	               1018.965     	              -6.594285E-02               	              -2.74147      	              -3.249583E-04               	              -2.553013 
-0.0984375    	               1018.804     	              -6.306836E-02               	              -2.741543     	              -3.352498E-04               	              -2.459879 
-0.0984125    	               1018.627     	              -6.014571E-02               	              -2.741545     	              -3.146667E-04               	              -2.646296 
-0.0983875    	               1018.437     	              -5.722305E-02               	              -2.741545     	              -3.172396E-04               	              -2.622994 
-0.0983625    	               1018.235     	              -0.0543004    	              -2.741548     	              -3.32677E-04  	              -2.483187 
-0.0983375    	               1018.017     	              -5.137774E-02               	              -2.741548     	              -3.223853E-04               	              -2.576394 
-0.0983125    	               1017.785     	              -4.840693E-02               	              -2.741537     	              -3.249583E-04               	              -2.55308 
-0.0982875    	               1017.54      	              -4.543611E-02               	              -2.741539     	              -3.301041E-04               	              -2.506479 
-0.0982625    	               1017.281     	              -0.0424653    	              -2.741514     	              -3.301041E-04               	              -2.506454 
-0.0982375    	               1017.007     	              -3.944632E-02               	              -2.741513     	              -3.223854E-04               	              -2.576359 
-0.0982125    	               1016.72      	              -3.640327E-02               	              -2.741558     	              -3.172396E-04               	              -2.623008 
-0.0981875    	               1016.419     	              -3.336021E-02               	              -2.741534     	              -3.120938E-04               	              -2.669586 
-0.0981625    	               1016.103     	              -3.029308E-02               	              -2.741496     	              -3.172396E-04               	              -2.622946 
-0.0981375    	               1015.776     	              -2.722594E-02               	              -2.741558     	              -3.223854E-04               	              -2.576404 
-0.0981125    	               1015.434     	              -2.418289E-02               	              -2.741586     	              -3.146667E-04               	              -2.646337 
-0.0980875    	               1015.078     	              -2.104354E-02               	              -2.741565     	              -3.198124E-04               	              -2.599713 
-0.0980625    	               1014.71      	              -0.0179764    	              -2.741562     	              -3.172396E-04               	              -2.623011 
-0.0980375    	               1014.328     	              -1.486111E-02               	              -2.741511     	              -3.32677E-04  	              -2.483149 
-0.0980125    	               1013.931     	              -1.174581E-02               	              -2.741509     	              -3.352498E-04               	              -2.459846 
-0.0979875    	               1013.522     	              -8.606464E-03               	              -2.741623     	              -3.223854E-04               	              -2.576469 
-0.0979625    	               1013.098     	              -5.418956E-03               	              -2.741632     	              -3.120938E-04               	              -2.669684 
-0.0979375    	               1012.659     	              -2.255529E-03               	              -2.741606     	              -3.301041E-04               	              -2.506546 
-0.0979125    	               1012.206     	               9.319782E-04               	              -2.741621     	              -3.223854E-04               	              -2.576467 
-0.0978875    	               1011.74      	               4.191726E-03               	              -2.741582     	              -3.249583E-04               	              -2.553126 
-0.0978625    	               1011.258     	               7.451475E-03               	              -2.741533     	              -3.275312E-04               	              -2.529774 
-0.0978375    	               1010.763     	               0.0107353    	              -2.741544     	              -3.249583E-04               	              -2.553088 
-0.0978125    	               1010.253     	               1.404321E-02               	              -2.741572     	              -3.32677E-04  	              -2.483211 
-0.0977875    	               1009.728     	               1.732704E-02               	              -2.741562     	              -3.198125E-04               	              -2.599709 
-0.0977625    	               1009.19      	               2.070719E-02               	              -2.741571     	              -3.172396E-04               	              -2.62302 
-0.0977375    	               1008.638     	               2.408734E-02               	              -2.741583     	              -3.120938E-04               	              -2.669636 
-0.0977125    	               1008.07      	               2.744341E-02               	              -2.741605     	              -3.120938E-04               	              -2.669658 
-0.0976875    	               1007.488     	               3.079948E-02               	              -2.741627     	              -3.146667E-04               	              -2.646379 
-0.0976625    	               1006.893     	               3.420371E-02               	              -2.741606     	              -3.146667E-04               	              -2.646357 
-0.0976375    	               1006.281     	               3.760794E-02               	              -2.741582     	              -3.198124E-04               	              -2.59973 
-0.0976125    	               1005.657     	               4.098809E-02               	              -2.74155      	              -3.146667E-04               	              -2.646302 
-0.0975875    	               1005.019     	               0.0444164    	              -2.74155      	              -3.018022E-04               	              -2.76281 
-0.0975625    	               1004.365     	               4.784471E-02               	              -2.74161      	              -3.120938E-04               	              -2.669663 
-0.0975375    	               1003.697     	               5.129707E-02               	              -2.741715     	              -3.120938E-04               	              -2.669768 
-0.0975125    	               1003.016     	               5.474943E-02               	              -2.74169      	              -3.04375E-04  	              -2.739649 
-0.0974875    	               1002.32      	               5.827403E-02               	              -2.741581     	              -3.043751E-04               	              -2.739539 
-0.0974625    	               1001.609     	               6.182271E-02               	              -2.741599     	              -3.223854E-04               	              -2.576444 
-0.0974375    	               1000.884     	               6.544363E-02               	              -2.741651     	              -3.172396E-04               	              -2.6231 
-0.0974125    	               1000.143     	               0.0690164    	              -2.741687     	              -3.120938E-04               	              -2.66974 
-0.0973875    	               999.3878     	               7.263732E-02               	              -2.741711     	              -3.146667E-04               	              -2.646462 
-0.0973625    	               998.619      	               7.623416E-02               	              -2.74169      	              -3.120938E-04               	              -2.669743 
-0.0973375    	               997.8335     	               7.987916E-02               	              -2.741601     	              -3.146667E-04               	              -2.646351 
-0.0973125    	               997.0323     	               8.352417E-02               	              -2.741642     	              -3.095209E-04               	              -2.692997 
-0.0972875    	               996.2183     	               8.721733E-02               	              -2.741676     	              -3.198125E-04               	              -2.599824 
-0.0972625    	               995.3881     	               9.093457E-02               	              -2.741741     	              -3.275312E-04               	              -2.529983 
-0.0972375    	               994.5426     	               9.465182E-02               	              -2.741776     	              -3.172396E-04               	              -2.623224 
-0.0972125    	               993.6849     	               0.0983209    	              -2.741757     	              -3.198124E-04               	              -2.599905 
-0.0971875    	               992.8119     	               0.1020381    	              -2.741724     	              -3.198125E-04               	              -2.599872 
-0.0971625    	               991.9235     	               0.1057795    	              -2.741755     	              -3.223854E-04               	              -2.576601 
-0.0971375    	               991.0226     	               0.1094726    	              -2.741824     	              -3.146667E-04               	              -2.646575 
-0.0971125    	               990.1063     	               0.1131417    	              -2.741769     	              -3.198125E-04               	              -2.599916 
-0.0970875    	               989.1741     	               0.116859     	              -2.741844     	              -3.301041E-04               	              -2.506784 
-0.0970625    	               988.2296     	               0.1206003    	              -2.741858     	              -3.249583E-04               	              -2.553401 
-0.0970375    	               987.2692     	               0.1243175    	              -2.741815     	              -3.198125E-04               	              -2.599962 
-0.0970125    	               986.2921     	               0.1280829    	              -2.741884     	              -3.172396E-04               	              -2.623333 
-0.0969875    	               985.3021     	               0.1318724    	              -2.741831     	              -3.198125E-04               	              -2.599978 
-0.0969625    	               984.2964     	               0.135686     	              -2.741763     	              -3.120938E-04               	              -2.669816 
-0.0969375    	               983.2734     	               0.1395477    	              -2.741717     	              -3.018022E-04               	              -2.762977 
-0.0969125    	               982.2369     	               0.1434335    	              -2.741843     	              -3.069479E-04               	              -2.7165 
-0.0968875    	               981.1846     	               0.147223     	              -2.741853     	              -3.223854E-04               	              -2.576698 
-9.686249E-02               	               980.1147     	               0.1511088    	              -2.74183      	              -3.198125E-04               	              -2.599977 
-0.0968375    	               979.0311     	               0.1549946    	              -2.741887     	              -3.120938E-04               	              -2.66994 
-0.0968125    	               977.9315     	               0.1588563    	              -2.741905     	              -3.172396E-04               	              -2.623354 
-0.0967875    	               976.814      	               0.1627662    	              -2.74189      	              -3.172396E-04               	              -2.623339 
-0.0967625    	               975.6825     	               0.1667002    	              -2.741838     	              -3.095209E-04               	              -2.693192 
-0.0967375    	               974.5358     	               0.1706101    	              -2.74181      	              -3.146667E-04               	              -2.646561 
-0.0967125    	               973.3714     	               0.174544     	              -2.741845     	              -3.301041E-04               	              -2.506785 
-0.0966875    	               972.1931     	               0.1784298    	              -2.741822     	              -3.249583E-04               	              -2.553366 
-0.0966625    	               971.0005     	               0.1823638    	              -2.741838     	              -3.146667E-04               	              -2.646589 
-9.663749E-02               	               969.7902     	               0.1863219    	              -2.74194      	              -3.249583E-04               	              -2.553483 
-0.0966125    	               968.5655     	               0.1903281    	              -2.741969     	              -3.275312E-04               	              -2.53021 
-0.0965875    	               967.327      	               0.1943583    	              -2.741991     	              -3.172396E-04               	              -2.62344 
-0.0965625    	               966.071      	               0.1983886    	              -2.741966     	              -3.095209E-04               	              -2.693321 
-0.0965375    	               964.7999     	               0.202443     	              -2.741903     	              -3.172396E-04               	              -2.623352 
-0.0965125    	               963.5142     	               0.2064251    	              -2.741937     	              -3.275312E-04               	              -2.530179 
-0.0964875    	               962.2095     	               0.2105036    	              -2.741968     	              -3.249583E-04               	              -2.553512 
-0.0964625    	               960.8887     	               0.214582     	              -2.741984     	              -3.223854E-04               	              -2.576829 
-0.0964375    	               959.5533     	               0.2185642    	              -2.741877     	              -3.198125E-04               	              -2.600025 
-0.0964125    	               958.1979     	               0.2225463    	              -2.741921     	              -3.120938E-04               	              -2.669974 
-0.0963875    	               956.825      	               0.2266247    	              -2.742001     	              -3.06948E-04  	              -2.716658 
-0.0963625    	               955.4365     	               0.2306069    	              -2.741972     	              -3.223854E-04               	              -2.576817 
-0.0963375    	               954.0274     	               0.2346371    	              -2.74201      	              -3.301041E-04               	              -2.50695 
-0.0963125    	               952.5997     	               0.2386674    	              -2.742026     	              -3.249583E-04               	              -2.55357 
-0.0962875    	               951.1564     	               0.2426736    	              -2.742004     	              -3.249583E-04               	              -2.553548 
-0.0962625    	               949.6924     	               0.2467039    	              -2.742086     	              -3.146667E-04               	              -2.646837 
-0.0962375    	               948.2098     	               0.2507342    	              -2.742034     	              -3.249583E-04               	              -2.553577 
-0.0962125    	               946.7123     	               0.2547404    	              -2.742025     	              -3.249583E-04               	              -2.553569 
-0.0961875    	               945.1943     	               0.2587466    	              -2.742009     	              -3.223854E-04               	              -2.576855 
-0.0961625    	               943.6568     	               0.2627288    	              -2.74209      	              -3.275311E-04               	              -2.530332 
-0.0961375    	               942.1039     	               0.2667109    	              -2.741984     	              -3.249583E-04               	              -2.553527 
-0.0961125    	               940.5306     	               0.2707412    	              -2.742006     	              -3.223853E-04               	              -2.576852 
-0.0960875    	               938.9368     	               0.2746992    	              -2.742066     	              -3.146667E-04               	              -2.646817 
-0.0960625    	               937.3267     	               0.2786573    	              -2.74212      	              -3.04375E-04  	              -2.740079 
-0.0960375    	               935.6952     	               0.2825912    	              -2.742119     	              -3.043751E-04               	              -2.740077 
-0.0960125    	               934.0413     	               0.2865011    	              -2.742098     	              -3.095209E-04               	              -2.693452 
-0.0959875    	               932.3703     	               0.290411     	              -2.74213      	              -3.06948E-04  	              -2.716786 
-0.0959625    	               930.6777     	               0.294369     	              -2.742137     	              -3.146667E-04               	              -2.646888 
-0.0959375    	               928.962      	               0.2982789    	              -2.742126     	              -3.120937E-04               	              -2.670179 
-0.0959125    	               927.2288     	               0.3021647    	              -2.742119     	              -3.095209E-04               	              -2.693474 
