[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3636630659.7765,03/27/2015,3:09 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.15 Build 40, MultiVu Release 2.1.0.6,APPNAME
INFO,0,MOMENT_UNITS
INFO,Er,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,67.06,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal" (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err.(deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr(emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr(emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err,DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3636631884.345,1.9998055100441,5000.34765625,0.000578382235812329,2.72566584252103E-7,1,4,13.0063810348511,5.00211315571303,30.7299997657537,0.706599072542717,0.10600829425598,1,-2.39983388227844E-7,,,,,,,,,,,,,,,,,,,,,1.99980199337006,1.99980902671814,5000.34765625,5000.34765625,49.8893943112072,5.30105674929025,1.83385050296783,52,1,0,0,1,0.272903442382813,31.2805480957031,1,1,1,1.99980902671814,0,,1.9998055100441,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3636631899.858,1.99969446659088,5500.298828125,0.000992498590221579,6.63328406606923E-7,1,4,13.0063810348511,5.0018460016155,30.7299997657537,1.21236379130597,0.182315923146101,1,-6.77761062169409E-8,,,,,,,,,,,,,,,,,,,,,1.99937224388123,2.00001668930054,5500.298828125,5500.298828125,49.6181692150341,5.3026606690043,1.82891452312469,52,1,0,0,1,0.274429321289062,31.7693061828613,1,1,1,2.00001668930054,0,,1.99969446659088,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3636631916.014,2.00044679641724,6000.23681640625,0.00143089108772222,3.8599430852267E-7,1,4,13.0063810348511,5.0019867729245,30.7299997657537,1.74787325876503,0.263305102804522,1,2.69702784450472E-7,,,,,,,,,,,,,,,,,,,,,2.00017237663269,2.00072121620178,6000.23681640625,6000.23681640625,49.8534393993226,5.30283533590657,1.83276069164276,51,1,68,0,0,0.272369384765625,31.7693061828613,1,1,1,2.00017237663269,0,,2.00044679641724,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3636631931.479,2.00025177001953,6500.28759765625,0.00173739739183063,3.45350904977531E-7,1,4,13.0063810348511,5.0022205926766,30.7299997657537,2.12233563595068,0.320274139451896,1,7.74795624100039E-7,,,,,,,,,,,,,,,,,,,,,2.00021004676819,2.00029349327087,6500.28759765625,6500.28759765625,49.9984314896399,5.30279142087293,1.82625615596771,52,1,0,0,1,0.270843505859375,31.7693061828613,1,1,1,2.00029349327087,0,,2.00025177001953,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3636631946.823,2.00021481513977,7000.35107421875,0.00199097985020219,3.09765939759136E-7,1,4,13.0063810348511,5.0020829330836,30.7299997657537,2.43195051034287,0.367390366085705,1,1.20272559916259E-6,,,,,,,,,,,,,,,,,,,,,2.00010704994202,2.00032258033752,7000.35107421875,7000.35107421875,49.9218318947553,5.30288257786272,1.83178019523621,48,1,68,0,0,0.276718139648438,31.2805480957031,1,1,1,2.00032258033752,0,,2.00021481513977,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3636631970.777,1.99993354082108,7500.2265625,0.00222072833612851,3.36170931516224E-7,1,4,13.0063810348511,5.00196711665235,30.7299997657537,2.71340444647552,0.403739861265611,10,-3.59656782015995E-6,,,,,,,,,,,,,,,,,,,,,1.99983584880829,2.00003123283386,7500.2265625,7500.2265625,49.9077625814091,5.30265532854304,1.82742893695831,52,1,0,0,1,0.269546508789062,31.7693061828613,1,1,1,1.99983584880829,0,,1.99993354082108,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3636631986.829,1.99981188774109,8000.3154296875,0.00243185099730453,2.72445557643575E-7,1,4,13.0063810348511,5.0018364283172,30.7299997657537,2.97121943889339,0.442355962437005,10,-3.73460056824198E-6,,,,,,,,,,,,,,,,,,,,,1.99953246116638,2.0000913143158,8000.3154296875,8000.3154296875,49.9659939060918,5.30449310471942,1.82854688167572,52,1,0,0,1,0.27374267578125,31.7693061828613,1,1,1,1.99953246116638,0,,1.99981188774109,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3636632003.062,2.00020158290863,8500.228515625,0.00263177180674044,2.39463063451223E-7,1,4,13.0063810348511,5.00175363361282,30.7299997657537,3.2154229569246,0.478604526388474,10,-4.12851802841673E-6,,,,,,,,,,,,,,,,,,,,,1.99991154670715,2.00049161911011,8500.228515625,8500.228515625,49.8999462962168,5.30343601752699,1.8284637928009,52,1,0,0,1,0.273971557617187,31.7693061828613,1,1,1,1.99991154670715,0,,2.00020158290863,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3636632018.551,1.9999086856842,9000.5048828125,0.00282409350319719,2.77045434329536E-7,1,4,13.0063810348511,5.00168865035318,30.7299997657537,3.45035668229964,0.513415547596193,10,-4.55677486459219E-6,,,,,,,,,,,,,,,,,,,,,1.99986672401428,1.99995064735413,9000.5048828125,9000.5048828125,49.8999462962168,5.30434033087366,1.82955408096313,52,1,0,0,1,0.2716064453125,31.7693061828613,1,1,1,1.99995064735413,0,,1.9999086856842,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3636632033.829,2.0002738237381,9500.28125,0.0030105490989803,4.08911714959788E-7,1,4,13.0063810348511,5.00166679348901,30.7299997657537,3.67802019581013,0.548090520488409,10,-4.21822965922543E-6,,,,,,,,,,,,,,,,,,,,,2.00022602081299,2.00032162666321,9500.28125,9500.28125,49.9816264764764,5.30489330181562,1.82240390777588,52,1,0,0,1,0.271148681640625,31.7693061828613,1,1,1,2.00032162666321,0,,2.0002738237381,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
